"","site","d13ring","d13ring_se"
"1","ART",-27.62,0.351283361405006
"2","BER",-26.9333333333333,0.265413723165258
"3","DIU",-26.1333333333333,0.547519659718058
"4","HMO",-25.84,0.278567765543682
"5","ITU",-27.8166666666667,0.284507371511609
"6","MSA",-25.8428571428571,0.397526365017911
