INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
2017I;BARRIOMARTIN (MOLINO PIQUERAS);SORIA;LA PÓVEDA DE SORIA;1260;415941;0229412;541840;4649312;ETRS89;;01/01/1968;
2017Y;BARRIOMARTÍN-EL ROBLEDO;SORIA;LA PÓVEDA DE SORIA;1260;415945;0229392;541895;4649437;ETRS89;;01/07/2009;
2018O;ESPEJO DE TERA;SORIA;ALMARZA;1050;415254;0229112;542615;4636766;ETRS89;;01/12/2017;
2026;PORTELARBOL DE LA SIERRA;SORIA;ALMARZA;1160;415351;0224562;548471;4638559;ETRS89;;01/09/1963;
9188;ENCISO, DEPÓSITO;LA RIOJA;ENCISO;855;420858;0216242;560040;4666625;ETRS89;;01/08/1929;
9192E;MONASTERIO DE VICO (ARNEDO);LA RIOJA;ARNEDO;577;421232;0208032;571472;4673332;ETRS89;;01/06/2017;
9287A;SAN PEDRO MANRIQUE;SORIA;SAN PEDRO MANRIQUE;1096;420135;0213512;563674;4652992;ETRS89;;01/08/2003;
9287F;CORNAGO;LA RIOJA;CORNAGO;704;420353;0205472;574750;4657356;ETRS89;;01/11/1928;
