date,campaign,site,canopy_position,id_plant,sample_type,umol_suc_ml,ug_suc_ml
20230822,summer23,MSA,NA,MSA2,BPH,1.299611954,444.8571718
20230823,summer23,MSA,NA,MSA3,BPH,1.318467871,451.3115522
20230824,summer23,MSA,NA,MSA5,BPH,1.352697789,463.0284532
20230824,summer23,MSA,NA,MSA6,BPH,1.490474548,510.1894377
20230904,late_summer23,MSA,NA,MSA1,BPH,1.17919121,403.6371511
20230904,late_summer23,MSA,NA,MSA2,BPH,1.399409038,479.0177138
20230904,late_summer23,MSA,NA,MSA3,BPH,1.179030506,403.5821422
20230904,late_summer23,MSA,NA,MSA4,BPH,1.362340019,466.3289886
20230904,late_summer23,MSA,NA,MSA5,BPH,1.336788109,457.5825696
20230904,late_summer23,MSA,NA,MSA6,BPH,1.408622725,482.1715588
20230607,spring23,ART,shade_low,ART1,LPH,0.015713264,5.378650388
20230607,spring23,ART,shade_low,ART2,LPH,0.025534055,8.74030688
20230607,spring23,ART,shade_low,ART3,LPH,0.076602164,26.22092064
20230607,spring23,ART,shade_low,ART4,LPH,-0.007856632,-2.689325194
20230607,spring23,ART,shade_low,ART5,LPH,0.013749106,4.706319089
20230607,spring23,ART,shade_low,ART1,SPH,0.08061976,27.59614375
20230607,spring23,ART,shade_low,ART2,SPH,0.081423279,27.87118837
20230607,spring23,ART,shade_low,ART3,SPH,0.082226798,28.14623299
20230607,spring23,ART,shade_low,ART4,SPH,0.133384187,45.65740727
20230607,spring23,ART,shade_low,ART5,SPH,0.104189656,35.66411933
20230607,spring23,ART,NA,ART1,BPH,0.084637356,28.97136686
20230607,spring23,ART,NA,ART2,BPH,0.066424254,22.73702209
20230607,spring23,ART,NA,ART3,BPH,0.128830912,44.09882108
20230607,spring23,ART,NA,ART4,BPH,0.109278611,37.40606861
20230607,spring23,ART,NA,ART5,BPH,0.76880717,263.1626944
20230608,spring23,BER,shade_low,BER1,LPH,0.121777799,41.6845405
20230608,spring23,BER,shade_low,BER2,LPH,0.247483914,84.71374361
20230608,spring23,BER,shade_low,BER3,LPH,0.062853057,21.51460155
20230608,spring23,BER,shade_low,BER4,LPH,0.108028692,36.97822142
20230608,spring23,BER,shade_low,BER5,LPH,0.066781373,22.85926415
20230608,spring23,BER,shade_low,BER6,LPH,0.27105381,92.78171919
20230608,spring23,BER,NA,BER1,BPH,1.48233222,507.4023188
20230608,spring23,BER,NA,BER2,BPH,0.746362201,255.4797813
20230608,spring23,BER,NA,BER3,BPH,1.310700519,448.6527876
20230608,spring23,BER,NA,BER4,BPH,1.118177318,382.7520961
20230608,spring23,BER,NA,BER5,BPH,1.600985222,548.0172414
20230608,spring23,BER,NA,BER6,BPH,1.599913863,547.6505152
20230608,spring23,BER,shade_low,BER1,SPH,1.232009205,421.7167509
20230608,spring23,BER,shade_low,BER2,SPH,1.489242485,509.7677026
20230608,spring23,BER,shade_low,BER3,SPH,1.469529481,503.0199412
20230608,spring23,BER,shade_low,BER4,SPH,1.237794543,423.6970722
20230608,spring23,BER,shade_low,BER5,SPH,1.106499506,378.7547809
20230608,spring23,BER,shade_low,BER6,SPH,1.192422493,408.1662192
20230615,spring23,DIU,shade_low,DIU1,LPH,0.043211477,14.79128857
20230615,spring23,DIU,shade_low,DIU2,LPH,0.098207902,33.61656492
20230615,spring23,DIU,shade_low,DIU3,LPH,0.192487488,65.88846725
20230615,spring23,DIU,shade_low,DIU4,LPH,0.858337065,293.8087774
20230615,spring23,DIU,shade_low,DIU5,LPH,0.047139793,16.13595116
20230615,spring23,DIU,shade_low,DIU6,LPH,0.021605738,7.395644283
20230615,spring23,DIU,NA,DIU1,BPH,1.407765638,481.8781779
20230615,spring23,DIU,NA,DIU2,BPH,1.135372629,388.638051
20230615,spring23,DIU,NA,DIU3,BPH,1.42024697,486.1505377
20230615,spring23,DIU,NA,DIU4,BPH,1.20710011,413.1903676
20230615,spring23,DIU,NA,DIU5,BPH,1.221027776,417.9578077
20230615,spring23,DIU,NA,DIU6,BPH,1.407497798,481.7864964
20230615,spring23,DIU,shade_low,DIU1,SPH,0.454577595,155.6019109
20230615,spring23,DIU,shade_low,DIU2,SPH,1.33598459,457.307525
20230615,spring23,DIU,shade_low,DIU3,SPH,0.880924883,301.5405874
20230615,spring23,DIU,shade_low,DIU4,SPH,1.315307362,450.2297101
20230615,spring23,DIU,shade_low,DIU5,SPH,0.941938774,322.4256423
20230615,spring23,DIU,shade_low,DIU6,SPH,1.191511837,407.854502
20230606,spring23,ITU,shade_low,ITU1,LPH,0.051068109,17.48061376
20230606,spring23,ITU,shade_low,ITU2,LPH,0.007856632,2.689325194
20230606,spring23,ITU,shade_low,ITU3,LPH,0.053032267,18.15294506
20230606,spring23,ITU,shade_low,ITU4,LPH,0.049103951,16.80828246
20230606,spring23,ITU,shade_low,ITU5,LPH,0.060888899,20.84227025
20230606,spring23,ITU,shade_low,ITU6,LPH,0.084458796,28.91024583
20230606,spring23,ITU,shade_low,ITU1,SPH,0.131777149,45.10731802
20230606,spring23,ITU,shade_low,ITU2,SPH,0.088119272,30.16322689
20230606,spring23,ITU,shade_low,ITU3,SPH,0.06053178,20.7200282
20230606,spring23,ITU,shade_low,ITU4,SPH,0.081958958,28.05455145
20230606,spring23,ITU,shade_low,ITU5,SPH,0.061603139,21.08675436
20230606,spring23,ITU,shade_low,ITU6,SPH,0.046336274,15.86090654
20230606,spring23,ITU,NA,ITU1,BPH,0.058924741,20.16993895
20230606,spring23,ITU,NA,ITU2,BPH,0.065085055,22.27861439
20230606,spring23,ITU,NA,ITU3,BPH,0.139276661,47.67440116
20230606,spring23,ITU,NA,ITU4,BPH,0.082226798,28.14623299
20230606,spring23,ITU,NA,ITU5,BPH,0.132312828,45.29068111
20230606,spring23,ITU,NA,ITU6,BPH,0.064013696,21.91188823
20230531,spring23,HMO,NA,HMO1,BPH,1.266078419,433.3786429
20230531,spring23,HMO,NA,HMO2,BPH,1.448530845,495.8321084
20230531,spring23,HMO,NA,HMO3,BPH,1.562844844,534.96179
20230531,spring23,HMO,NA,HMO4,BPH,1.406854983,481.5664607
20230531,spring23,HMO,NA,HMO5,BPH,1.524168786,521.7229755
20230831,summer23,ART,shade_low,ART1,LPH,0.015713264,5.378650388
20230831,summer23,ART,shade_low,ART2,LPH,0.10017206,34.28889622
20230831,summer23,ART,shade_low,ART3,LPH,0.041247319,14.11895727
20230831,summer23,ART,shade_low,ART6,LPH,0.069400251,23.75570588
20230831,summer23,ART,shade_low,ART4,LPH,0.011130229,3.809877358
20230831,summer23,ART,shade_low,ART1,SPH,1.031665085,353.1389585
20230831,summer23,ART,shade_low,ART2,SPH,0.652832566,223.4645873
20230831,summer23,ART,shade_low,ART3,SPH,0.80925097,277.0066071
20230831,summer23,ART,shade_low,ART6,SPH,1.371928682,469.6111878
20230831,summer23,ART,shade_low,ART4,SPH,0.812947158,278.2718123
20230831,summer23,ART,NA,ART1,BPH,0.852319599,291.7489988
20230831,summer23,ART,NA,ART2,BPH,1.244436969,425.9707744
20230831,summer23,ART,NA,ART3,BPH,1.163388665,398.2279402
20230831,summer23,ART,NA,ART6,BPH,1.27572065,436.6791784
20230831,summer23,ART,NA,ART4,BPH,0.897102403,307.0781524
20230830,summer23,BER,shade_low,BER1,LPH,0.027498213,9.412638179
20230830,summer23,BER,shade_low,BER2,LPH,0.030771809,10.53319034
20230830,summer23,BER,shade_low,BER3,LPH,0.043538837,14.90334378
20230830,summer23,BER,shade_low,BER4,LPH,0.143383537,49.08018479
20230830,summer23,BER,shade_low,BER5,LPH,0.141419379,48.40785349
20230830,summer23,BER,shade_low,BER6,LPH,0.071691769,24.54009239
20230830,summer23,BER,NA,BER1,BPH,1.234419763,422.5418848
20230830,summer23,BER,NA,BER2,BPH,1.110999214,380.2950308
20230830,summer23,BER,NA,BER3,BPH,0.842998777,288.5584812
20230830,summer23,BER,NA,BER4,BPH,1.026254722,351.2869913
20230830,summer23,BER,NA,BER5,BPH,0.740148319,253.3527696
20230830,summer23,BER,NA,BER6,BPH,1.536542982,525.9586627
20230830,summer23,BER,shade_low,BER1,SPH,1.053627943,360.6568448
20230830,summer23,BER,shade_low,BER2,SPH,1.04639627,358.1814432
20230830,summer23,BER,shade_low,BER3,SPH,1.005148951,344.0624859
