date,season,id_plant,sample_type,light_exposure,site,Vol extraccion sac (ml),# de hojas,Vol_resusp (ml),Vol_final_pocillo_sac_(ml),Vol sacarosa (ml),Sacarosa 01,rep_S01,Sacarosa 02,rep_S02,Sac 02-01,Sac_rep_02-01,Promedio sacarosa,Aplicando la recta sacarosa_um_ml,ug_sac_ml,ug_C_ml,ug_C_MUESTRA (sin descontar lo usado para medir),ug_C_MUESTRA (descontando lo usado para medir),mg C capsulitas analisis isotopos
20230608,spring,3,SPH,shade_low,bertiz,10,,,0.25,0.11,0.838,0.904,3.5746,3.654,2.7366,2.75,2.7433,1.469529481,503.0199412,211.2683753,2112.683753,2066.20471,2.112683753
20230608,spring,4,SPH,shade_low,bertiz,10,,,0.25,0.11,0.708,0.733,2.9832,3.0792,2.2752,2.3462,2.3107,1.237794543,423.6970722,177.9527703,1779.527703,1740.378094,1.779527703
20230608,spring,5,SPH,shade_low,bertiz,10,,,0.25,0.11,0.608,0.645,2.6594,2.7248,2.0514,2.0798,2.0656,1.106499506,378.7547809,159.077008,1590.77008,1555.773138,1.59077008
20230608,spring,6,SPH,shade_low,bertiz,10,,,0.25,0.11,0.476,0.47,2.7244,2.6736,2.2484,2.2036,2.226,1.192422493,408.1662192,171.4298121,1714.298121,1676.583562,1.714298121
20230615,spring,1,LPH,shade_low,diustes,1.8,10,0.5,0.25,0.015,0.293,0.288,0.303,0.3,0.01,0.012,0.011,0.043211477,14.79128857,6.212341198,3.106170599,2.919800363,
20230615,spring,2,LPH,shade_low,diustes,1.8,10,0.5,0.25,0.015,0.296,0.294,0.32,0.32,0.024,0.026,0.025,0.098207902,33.61656492,14.11895727,7.059478634,6.635909916,
20230615,spring,3,LPH,shade_low,diustes,1.8,10,0.5,0.25,0.015,0.293,0.299,0.341,0.349,0.048,0.05,0.049,0.192487488,65.88846725,27.67315624,13.83657812,13.00638344,
20230615,spring,4,LPH,shade_low,diustes,1.8,10,0.5,0.25,0.015,0.295,0.297,0.513,0.516,0.218,0.219,0.2185,0.858337065,293.8087774,123.3996865,61.69984326,57.99785266,
20230615,spring,5,LPH,shade_low,diustes,1.8,10,0.5,0.25,0.015,0.307,0.31,0.319,0.322,0.012,0.012,0.012,0.047139793,16.13595116,6.777099489,3.388549744,3.18523676,
20230615,spring,6,LPH,shade_low,diustes,1.8,10,0.5,0.25,0.015,0.304,0.304,0.31,0.309,0.006,0.005,0.0055,0.021605738,7.395644283,3.106170599,1.553085299,1.459900181,
20230615,spring,1,BPH,shade_low,diustes,10,,,0.25,0.11,0.653,0.658,3.2604,3.3066,2.6074,2.6486,2.628,1.407765638,481.8781779,202.3888347,2023.888347,1979.362804,2.023888347
20230615,spring,2,BPH,shade_low,diustes,10,,,0.25,0.11,0.565,0.618,2.6684,2.7536,2.1034,2.1356,2.1195,1.135372629,388.638051,163.2279814,1632.279814,1596.369658,1.632279814
20230615,spring,3,BPH,shade_low,diustes,10,,,0.25,0.11,0.546,0.549,3.191,3.2066,2.645,2.6576,2.6513,1.42024697,486.1505377,204.1832258,2041.832258,1996.911949,2.041832258
20230615,spring,4,BPH,shade_low,diustes,10,,,0.25,0.11,0.406,0.401,2.6594,2.6544,2.2534,2.2534,2.2534,1.20710011,413.1903676,173.5399544,1735.399544,1697.220754,1.735399544
20230615,spring,5,BPH,shade_low,diustes,10,,,0.25,0.11,0.543,0.541,2.8096,2.8332,2.2666,2.2922,2.2794,1.221027776,417.9578077,175.5422793,1755.422793,1716.803491,1.755422793
20230615,spring,6,BPH,shade_low,diustes,10,,,0.25,0.11,0.569,0.573,3.1812,3.2158,2.6122,2.6428,2.6275,1.407497798,481.7864964,202.3503285,2023.503285,1978.986213,2.023503285
20230615,spring,1,SPH,shade_low,diustes,10,,,0.25,0.11,0.563,0.59,1.4012,1.449,0.8382,0.859,0.8486,0.454577595,155.6019109,65.35280257,653.5280257,639.1504091,0.653528026
20230615,spring,2,SPH,shade_low,diustes,10,,,0.25,0.11,0.691,0.703,3.1634,3.2186,2.4724,2.5156,2.494,1.33598459,457.307525,192.0691605,1920.691605,1878.43639,1.920691605
20230615,spring,3,SPH,shade_low,diustes,10,,,0.25,0.11,0.516,0.51,2.1768,2.1382,1.6608,1.6282,1.6445,0.880924883,301.5405874,126.6470467,1266.470467,1238.608117,1.266470467
20230615,spring,4,SPH,shade_low,diustes,10,,,0.25,0.11,1.071,1.086,3.5224,3.5454,2.4514,2.4594,2.4554,1.315307362,450.2297101,189.0964782,1890.964782,1849.363557,1.890964782
