date,season,id_plant,sample_type,light_exposure,site,Vol extraccion sac (ml),# de hojas,Vol_resusp (ml),Vol_final_pocillo_sac_(ml),Vol sacarosa (ml),Sacarosa 01,rep_S01,Sacarosa 02,rep_S02,Sac 02-01,Sac_rep_02-01,Promedio sacarosa,Aplicando la recta sacarosa_um_ml,ug_sac_ml,ug_C_ml,ug_C_MUESTRA (sin descontar lo usado para medir),ug_C_MUESTRA (descontando lo usado para medir),mg C capsulitas analisis isotopos
20230901,summer,3,BPH,shade_low,diustes,10,,,0.25,0.11,1.215,1.193,3.6642,3.6444,2.4492,2.4514,2.4503,1.312575397,449.2945584,188.7037145,1887.037145,1845.522328,0.377407429
20230901,summer,4,BPH,shade_low,diustes,10,,,0.25,0.11,1.628,1.642,3.8044,3.799,2.1764,2.157,2.1667,1.1606567,397.2927885,166.8629712,1668.629712,1631.919858,0.333725942
20230901,summer,5,BPH,shade_low,diustes,10,,,0.25,0.11,1.408,1.424,3.7306,3.7296,2.3226,2.3056,2.3141,1.239615854,424.3205067,178.2146128,1782.146128,1742.938913,0.356429226
20230901,summer,6,BPH,shade_low,diustes,10,,,0.25,0.11,1.439,1.469,3.7416,3.7294,2.3026,2.2604,2.2815,1.222152703,418.3428702,175.7040055,1757.040055,1718.385174,0.351408011
20230901,summer,1,SPH,shade_low,diustes,10,,,0.25,0.11,0.647,0.652,3.003,3.0206,2.356,2.3686,2.3623,1.265435604,433.1586072,181.926615,1819.26615,1779.242295,0.36385323
20230901,summer,2,SPH,shade_low,diustes,10,,,0.25,0.11,0.62,0.638,3.0074,3.0872,2.3874,2.4492,2.4183,1.295433654,443.4269397,186.2393147,1862.393147,1821.420498,0.372478629
20230901,summer,3,SPH,shade_low,diustes,10,,,0.25,0.11,0.412,0.422,2.128,2.207,1.716,1.785,1.7505,0.937706906,320.977074,134.8103711,1348.103711,1318.445429,0.269620742
20230901,summer,4,SPH,shade_low,diustes,10,,,0.25,0.11,0.767,0.796,3.3166,3.4174,2.5496,2.6214,2.5855,1.384999261,474.085247,199.1158037,1991.158037,1947.35256,0.398231607
20230901,summer,5,SPH,shade_low,diustes,10,,,0.25,0.11,0.443,0.442,2.2572,2.2732,1.8142,1.8312,1.8227,0.976382964,334.2158885,140.3706732,1403.706732,1372.825183,0.280741346
20230901,summer,6,SPH,shade_low,diustes,10,,,0.25,0.11,0.528,0.52,2.3424,2.27,1.8144,1.75,1.7822,0.954687945,326.7896837,137.2516671,1372.516671,1342.321305,0.274503334
20230829,summer,1,LPH,shade_low,iturrieta,5,10,0.5,0.25,0.015,0.271,0.271,0.273,0.275666667,0.002,0.004666667,0.003333333,0.013094387,4.482208656,1.882527636,0.941263818,0.884787989,
20230829,summer,2,LPH,shade_low,iturrieta,5,10,0.5,0.25,0.015,0.283,0.288,0.289,0.292,0.006,0.004,0.005,0.01964158,6.723312985,2.823791454,1.411895727,1.327181983,
20230829,summer,3,LPH,shade_low,iturrieta,5,10,0.5,0.25,0.015,0.276,0.281,0.290166667,0.2965,0.014166667,0.0155,0.014833333,0.058270022,19.94582852,8.377247979,4.188623989,3.93730655,
20230829,summer,4,LPH,shade_low,iturrieta,5,10,0.5,0.25,0.015,0.287,0.286,0.282,0.28,-0.005,-0.006,-0.0055,-0.021605738,-7.395644283,-3.106170599,-1.553085299,-1.459900181,
20230829,summer,5,LPH,shade_low,iturrieta,5,10,0.5,0.25,0.015,0.281,0.277,0.305,0.302,0.024,0.025,0.0245,0.096243744,32.94423362,13.83657812,6.918289061,6.503191718,
20230829,summer,6,LPH,shade_low,iturrieta,5,10,0.5,0.25,0.015,0.283,0.29,0.302833333,0.312666667,0.019833333,0.022666667,0.02125,0.083476717,28.57408018,12.00111368,6.000556839,5.640523428,
20230829,summer,1,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.714,0.735,2.6816,2.7364,1.9676,2.0014,1.9845,1.063055901,363.884035,152.8312947,1528.312947,1494.690062,0.305662589
20230829,summer,2,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.519,0.509,1.6506,1.6174,1.1316,1.1084,1.12,0.599961003,205.3666512,86.25399349,862.5399349,843.5640563,0.172507987
20230829,summer,3,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.434,0.427,1.761,1.7326,1.327,1.3056,1.3163,0.705114882,241.360824,101.3715461,1013.715461,991.4137209,0.202743092
20230829,summer,4,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.465,0.464,1.7734,1.7924,1.3084,1.3284,1.3184,0.706239809,241.7458865,101.5332723,1015.332723,992.9954035,0.203066545
20230829,summer,5,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.381,0.37,1.52,1.4664,1.139,1.0964,1.1177,0.59872894,204.9449161,86.07686475,860.7686475,841.8317373,0.17215373
20230829,summer,6,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.377,0.39,1.2444,1.2582,0.8674,0.8682,0.8678,0.464862641,159.122482,66.83144246,668.3144246,653.6115072,0.133662885
20230829,summer,1,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.724,0.747,3.0464,3.1346,2.3224,2.3876,2.355,1.261525144,431.8200567,181.3644238,1813.644238,1773.744065,0.362728848
20230829,summer,2,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.832,0.838,3.0704,3.0758,2.2384,2.2378,2.2381,1.198904214,410.3849125,172.3616632,1723.616632,1685.697067,0.344723326
20230829,summer,3,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.656,0.661,2.4346,2.4462,1.7786,1.7852,1.7819,0.954527241,326.7346747,137.2285634,1372.285634,1342.09535,0.274457127
20230829,summer,4,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.698,0.711,2.531,2.5652,1.833,1.8542,1.8436,0.987578665,338.0481769,141.9802343,1419.802343,1388.566691,0.283960469
20230829,summer,5,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.622,0.629,3.1582,3.218,2.5362,2.589,2.5626,1.372732201,469.8862324,197.3522176,1973.522176,1930.104688,0.394704435
20230829,summer,6,BPH,shade_low,iturrieta,10,,,0.25,0.11,1.01,1.038,2.8196,2.8818,1.8096,1.8438,1.8267,0.978525682,334.9493408,140.6787231,1406.787231,1375.837912,0.281357446
20230720,summer,1,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,1.182,1.203,3.6248,3.6474,2.4428,2.4444,2.4436,1.308986344,448.0660257,188.1877308,1881.877308,1840.476007,0.376375462
20230720,summer,2,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.985,1.006,3.6468,3.651,2.6618,2.645,2.6534,1.421371897,486.5356002,204.3449521,2043.449521,1998.493631,0.408689904
20230720,summer,3,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.63,0.647,3.561,3.5728,2.931,2.9258,2.9284,1.56868375,536.9604476,225.523388,2255.23388,2205.618734,0.451046776
20230720,summer,4,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.719,0.719,3.5534,3.5488,2.8344,2.8298,2.8321,1.517097817,519.3025828,218.1070848,2181.070848,2133.087289,0.43621417
20230720,summer,5,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.868,0.887,3.6012,3.6362,2.7332,2.7492,2.7412,1.468404554,502.6348787,211.1066491,2111.066491,2064.623028,0.422213298
20230926,late_summer,1,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.8,0.826,2.4672,2.497,1.6672,1.671,1.6691,0.894102598,306.0513192,128.541554,1285.41554,1257.136399,0.257083108
20230926,late_summer,2,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.525,0.527,2.072,2.0798,1.547,1.5528,1.5499,0.830249605,284.1944399,119.3616647,1193.616647,1167.357081,0.238723329
20230926,late_summer,3,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.526,0.523,2.6476,2.6418,2.1216,2.1188,2.1202,1.135747605,388.7664052,163.2818902,1632.818902,1596.896886,0.32656378
20230926,late_summer,4,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.608,0.61,2.7228,2.759,2.1148,2.149,2.1319,1.142015055,390.9117532,164.1829364,1641.829364,1605.709118,0.328365873
20230926,late_summer,5,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.694,0.68,3.1938,3.0892,2.4998,2.4092,2.4545,1.314825251,450.0646833,189.027167,1890.27167,1848.685693,0.378054334
