"","date","precip_day_mm","rh_mean_day","se_rh_day","rh_max_day","se_rh_max","rh_min_day","se_rh_min","temp_mean_day","se_temp_day","temp_max_day","se_temp_max","temp_min_day","se_temp_min"
"2866",2021-11-05,9.5,99.3152777777778,0.00300857432485682,99.4,0.00300857432485682,99.3,0.00300857432485682,2.73743055555556,0.037555804958615,4.18,0.037555804958615,1.99,0.037555804958615
"2867",2021-11-06,0.7,99.2916666666667,0.00578862319624955,99.4,0.00578862319624955,98.6,0.00578862319624955,3.21222222222222,0.0466710833370802,4.39,0.0466710833370802,2.26,0.0466710833370802
"2868",2021-11-07,0.1,99.2798611111111,0.0106864191525375,99.3,0.0106864191525375,98.3,0.0106864191525375,4.30006944444444,0.0914827300866997,6.2,0.0914827300866997,2.65,0.0914827300866997
"2869",2021-11-08,2.1,99.3,0,99.3,0,99.3,0,6.69715277777778,0.0318845502618523,7.45,0.0318845502618523,5.75,0.0318845502618523
"2870",2021-11-09,0.1,97.5402777777778,0.297147667090207,99.3,0.297147667090207,85.2,0.297147667090207,4.99541666666667,0.0874267856087615,6.81,0.0874267856087615,2.75,0.0874267856087615
"2871",2021-11-10,0,91.423125,0.654330135387069,99.3,0.654330135387069,73.78,0.654330135387069,3.96715277777778,0.140488646038873,7.74,0.140488646038873,0.38,0.140488646038873
"2872",2021-11-11,0,99.2743055555556,0.0132128342789561,99.3,0.0132128342789561,98.1,0.0132128342789561,6.010625,0.0931402128498138,7.4,0.0931402128498138,4,0.0931402128498138
"2873",2021-11-12,0,97.8097222222222,0.155610308864756,99.3,0.155610308864756,90.4,0.155610308864756,7.39111111111111,0.0680105023477631,8.79,0.0680105023477631,5.93,0.0680105023477631
"2874",2021-11-13,0,98.6097222222222,0.161081594099688,99.3,0.161081594099688,91.5,0.161081594099688,7.82430555555556,0.0487289544533347,9.37,0.0487289544533347,7.13,0.0487289544533347
"2875",2021-11-14,16.4,99.0625,0.0740313975580485,99.4,0.0740313975580485,93.6,0.0740313975580485,6.30076388888889,0.039829068524204,7.24,0.039829068524204,5.15,0.039829068524204
"2876",2021-11-15,8,99.3,0,99.3,0,99.3,0,5.46819444444444,0.0265684476115293,6.41,0.0265684476115293,5.02,0.0265684476115293
"2877",2021-11-16,9.4,99.3,0,99.3,0,99.3,0,5.04645833333333,0.0171031052078441,5.39,0.0171031052078441,4.55,0.0171031052078441
"2878",2021-11-17,3.7,99.3,0,99.3,0,99.3,0,3.71270833333333,0.0762735193547481,5.17,0.0762735193547481,2.72,0.0762735193547481
"2879",2021-11-18,0,95.1013888888889,0.467570081786889,99.3,0.467570081786889,82.4,0.467570081786889,4.21381944444444,0.0840230199180196,7.02,0.0840230199180196,2.94,0.0840230199180196
"2880",2021-11-19,0,85.0551388888889,1.02671670530375,99.4,1.02671670530375,58.36,1.02671670530375,5.26993055555556,0.196952118324894,10.53,0.196952118324894,1.58,0.196952118324894
"2881",2021-11-20,0,90.839375,0.476047746616415,98.4,0.476047746616415,66.15,0.476047746616415,4.75527777777778,0.127942368489357,8.23,0.127942368489357,2.06,0.127942368489357
"2882",2021-11-21,4,91.5050694444444,0.682517898508499,99.3,0.682517898508499,74.34,0.682517898508499,6.23479166666667,0.115115772640527,9.67,0.115115772640527,4.3,0.115115772640527
"2883",2021-11-22,6.3,98.1930555555556,0.245007755569527,99.3,0.245007755569527,84.1,0.245007755569527,2.37395833333333,0.0539357385800294,4.15,0.0539357385800294,0.99,0.0539357385800294
"2884",2021-11-23,5.1,99.3006944444444,0.000694444444444504,99.4,0.000694444444444504,99.3,0.000694444444444504,2.13395833333333,0.0333793707069466,2.86,0.0333793707069466,1.16,0.0333793707069466
"2885",2021-11-24,7.5,98.7659722222222,0.129722984974356,99.4,0.129722984974356,92.1,0.129722984974356,3.34076388888889,0.0771511045153857,4.74,0.0771511045153857,1.57,0.0771511045153857
"2886",2021-11-25,11,99.3,0,99.3,0,99.3,0,1.93173611111111,0.0725480663387934,4.68,0.0725480663387934,1.05,0.0725480663387934
"2887",2021-11-26,5.2,99.0458333333333,0.0913661900898285,99.3,0.0913661900898285,90.9,0.0913661900898285,2.06986111111111,0.0390015970663861,3.51,0.0390015970663861,1.24,0.0390015970663861
"2888",2021-11-27,35.1,98.1847222222222,0.209895817768413,99.4,0.209895817768413,88.2,0.209895817768413,0.499722222222222,0.10735749053302,3.4,0.10735749053302,-0.91,0.10735749053302
"2889",2021-11-28,50.1,99.2951388888889,0.0231404335111474,99.4,0.0231404335111474,97.2,0.0231404335111474,0.641388888888889,0.130463417453399,5.4,0.130463417453399,-0.7,0.130463417453399
"2890",2021-11-29,75.6,98.9513888888889,0.112612656668898,99.3,0.112612656668898,90.1,0.112612656668898,5.145625,0.0350088398690708,5.87,0.0350088398690708,4.12,0.0350088398690708
"2891",2021-11-30,0,85.1145833333333,0.850810441800549,99.3,0.850810441800549,67.9,0.850810441800549,5.77159722222222,0.11910328743099,8.74,0.11910328743099,3.31,0.11910328743099
"2892",2021-12-01,17.6,93.1613194444444,0.54781893640827,99.4,0.54781893640827,78.6,0.54781893640827,3.47083333333333,0.0934703612406544,5.47,0.0934703612406544,0.28,0.0934703612406544
"2893",2021-12-02,16.8,97.1819444444444,0.362464869526963,99.3,0.362464869526963,81.4,0.362464869526963,1.69423611111111,0.0881438780559619,4.28,0.0881438780559619,-0.26,0.0881438780559619
"2894",2021-12-03,6.1,98.2666666666667,0.173711820052052,99.3,0.173711820052052,90.7,0.173711820052052,4.49569444444444,0.118257947883203,6.58,0.118257947883203,2.44,0.118257947883203
"2895",2021-12-04,7.7,93.23875,0.618815641311074,99.3,0.618815641311074,62.88,0.618815641311074,4.84243055555556,0.120804503695554,8.78,0.120804503695554,2.18,0.120804503695554
"2896",2021-12-05,25.4,95.9611111111111,0.420005400942897,99.4,0.420005400942897,81,0.420005400942897,1.61618055555556,0.0661555286263364,2.92,0.0661555286263364,-0.11,0.0661555286263364
"2897",2021-12-06,8.6,98.4701388888889,0.167727045962975,99.3,0.167727045962975,87,0.167727045962975,5.078125,0.143509133825537,8.43,0.143509133825537,2.31,0.143509133825537
"2898",2021-12-07,19.4,76.7661111111111,3.14974594613061,99.3,3.14974594613061,2.84,3.14974594613061,6.799375,0.170270085133917,10.24,0.170270085133917,3.6,0.170270085133917
"2899",2021-12-08,15.2,2.84131944444444,0.000371980563216964,2.85,0.000371980563216964,2.83,0.000371980563216964,0.147638888888889,0.0773992682022956,3.2,0.0773992682022956,-1.13,0.0773992682022956
"2900",2021-12-09,39,2.84430555555556,0.000612711579441871,2.88,0.000612711579441871,2.83,0.000612711579441871,3.39326388888889,0.240604123224998,8.11,0.240604123224998,-0.15,0.240604123224998
"2901",2021-12-10,21,2.84597222222222,0.000677931090714415,2.89,0.000677931090714415,2.83,0.000677931090714415,6.11770833333333,0.0791324437592005,9.1,0.0791324437592005,4.65,0.0791324437592005
"2902",2021-12-11,24.7,2.84770833333333,0.00138225640530539,2.95,0.00138225640530539,2.83,0.00138225640530539,7.11180555555556,0.107296393474432,8.91,0.107296393474432,5.13,0.107296393474432
"2903",2021-12-12,0,2.84381944444444,0.00104760673609974,2.89,0.00104760673609974,2.8,0.00104760673609974,6.87472222222222,0.115925339708802,10.08,0.115925339708802,4.86,0.115925339708802
"2904",2021-12-13,0,2.84298611111111,0.000419047523131327,2.85,0.000419047523131327,2.83,0.000419047523131327,4.11888888888889,0.0684462447038191,6.15,0.0684462447038191,2.04,0.0684462447038191
"2905",2021-12-14,0,15.3673611111111,1.63090353133974,58.41,1.63090353133974,2.83,1.63090353133974,10.1300694444444,0.258919488715754,17.28,0.258919488715754,4.99,0.258919488715754
"2906",2021-12-15,0,60.2214583333333,1.18509973536317,93.8,1.18509973536317,30.38,1.18509973536317,12.0261111111111,0.151101823238264,16.07,0.151101823238264,7.54,0.151101823238264
"2907",2021-12-16,0,21.70375,2.62810733108383,88.6,2.62810733108383,2.78,2.62810733108383,8.27854166666667,0.165563744884978,11.93,0.165563744884978,4.09,0.165563744884978
"2908",2021-12-17,0,2.84090277777778,0.000824034331854108,2.88,0.000824034331854108,2.82,0.000824034331854108,3.90340277777778,0.30931710322838,8.7,0.30931710322838,-2.22,0.30931710322838
"2909",2021-12-18,0,2.83993055555556,0.000477713569256642,2.86,0.000477713569256642,2.83,0.000477713569256642,0.00958333333333332,0.233388914355037,7.38,0.233388914355037,-2.57,0.233388914355037
"2910",2021-12-19,0,2.83993055555556,0.000446175666206027,2.85,0.000446175666206027,2.83,0.000446175666206027,-1.318125,0.0683329757758284,1.37,0.0683329757758284,-2.42,0.0683329757758284
"2911",2021-12-20,0,2.84611111111111,0.00141829781013557,2.96,0.00141829781013557,2.83,0.00141829781013557,4.24,0.305564188971767,9.47,0.305564188971767,-2.96,0.305564188971767
"2912",2021-12-21,0,2.848125,0.00156436854085728,2.95,0.00156436854085728,2.83,0.00156436854085728,7.56333333333333,0.111210449959813,10.22,0.111210449959813,4,0.111210449959813
"2913",2021-12-22,0,2.84375,0.000556404751135585,2.87,0.000556404751135585,2.83,0.000556404751135585,3.89097222222222,0.183393567119473,8.68,0.183393567119473,0.92,0.183393567119473
"2914",2021-12-23,0,2.84305555555556,0.000397615486072598,2.85,0.000397615486072598,2.83,0.000397615486072598,3.20354166666667,0.0981258660798465,5.09,0.0981258660798465,1.46,0.0981258660798465
"2915",2021-12-24,0,2.84458333333333,0.000606515709080408,2.88,0.000606515709080408,2.83,0.000606515709080408,5.53958333333333,0.053882198607043,7.63,0.053882198607043,4.65,0.053882198607043
"2916",2021-12-25,0,2.84548611111111,0.00121435126742251,2.91,0.00121435126742251,2.82,0.00121435126742251,7.00027777777778,0.0683710556267629,8.57,0.0683710556267629,5.28,0.0683710556267629
"2917",2021-12-26,1.9,2.845625,0.0012376772160866,2.91,0.0012376772160866,2.83,0.0012376772160866,7.14826388888889,0.0941030495476102,10.07,0.0941030495476102,4.99,0.0941030495476102
"2918",2021-12-27,0.9,2.84666666666667,0.000615457454896667,2.87,0.000615457454896667,2.83,0.000615457454896667,9.68847222222222,0.0532551801585384,11.09,0.0532551801585384,8.26,0.0532551801585384
"2919",2021-12-28,0,2.84701388888889,0.000971024764839065,2.88,0.000971024764839065,2.83,0.000971024764839065,9.52673611111111,0.0954337127545585,11.92,0.0954337127545585,8.1,0.0954337127545585
"2920",2021-12-29,0,2.85048611111111,0.00146948322053115,2.91,0.00146948322053115,2.82,0.00146948322053115,9.03715277777778,0.123782833274513,12.51,0.123782833274513,7.13,0.123782833274513
"2921",2021-12-30,0,2.84576388888889,0.00126046459284371,2.89,0.00126046459284371,2.79,0.00126046459284371,10.1420833333333,0.161724146745738,14.86,0.161724146745738,7.76,0.161724146745738
"2922",2021-12-31,0,2.84763888888889,0.00130738931211536,2.93,0.00130738931211536,2.81,0.00130738931211536,10.9189583333333,0.212387287141248,15.89,0.212387287141248,6.62,0.212387287141248
"2923",2022-01-01,0,2.84645833333333,0.000987827773540871,2.93,0.000987827773540871,2.82,0.000987827773540871,9.930625,0.125804683394251,13.19,0.125804683394251,7.12,0.125804683394251
"2924",2022-01-02,0,2.84986111111111,0.000985452218670567,2.9,0.000985452218670567,2.82,0.000985452218670567,10.4899305555556,0.18569692476822,14.84,0.18569692476822,6.61,0.18569692476822
"2925",2022-01-03,0,2.848125,0.00149126161629548,2.93,0.00149126161629548,2.79,0.00149126161629548,9.71965277777778,0.176667007883144,13.09,0.176667007883144,6.65,0.176667007883144
"2926",2022-01-04,16.3,2.84409722222222,0.00061870916741447,2.87,0.00061870916741447,2.83,0.00061870916741447,6.71527777777778,0.303123181263129,11.6,0.303123181263129,1.87,0.303123181263129
"2927",2022-01-05,1.9,2.84090277777778,0.000380584479302842,2.85,0.000380584479302842,2.83,0.000380584479302842,1.43083333333333,0.0748603660011384,3.68,0.0748603660011384,-0.39,0.0748603660011384
"2928",2022-01-06,0,2.84020833333333,0.000445873225455325,2.85,0.000445873225455325,2.82,0.000445873225455325,1.15986111111111,0.124675608065938,4.32,0.124675608065938,-1.2,0.124675608065938
"2929",2022-01-07,8.9,2.85673611111111,0.0140842694483132,4.87,0.0140842694483132,2.83,0.0140842694483132,3.39909722222222,0.0341883229442812,4.39,0.0341883229442812,2.47,0.0341883229442812
"2930",2022-01-08,0.1,2.84305555555556,0.000409646902194143,2.85,0.000409646902194143,2.83,0.000409646902194143,3.04131944444444,0.0574997252221212,4.6,0.0574997252221212,1.95,0.0574997252221212
