%">"FECHA","PRECIPITACION ACUMULADA","TEMPERATURA MAXIMA","TEMPERATURA MINIMA",
"","L/M&2","  C","  C",
"01/01/2020","0.0","13.0","5.0",
"02/01/2020","0.0","13.0","-1.0",
"03/01/2020","2.0","7.5","0.0",
"04/01/2020","0.9","8.5","3.5",
"05/01/2020","0.0","13.0","4.0",
"06/01/2020","0.0","13.0","0.0",
"07/01/2020","0.0","13.0","0.0",
"08/01/2020","0.0","15.0","2.5",
"09/01/2020","4.0","13.0","4.0",
"10/01/2020","7.1","9.0","6.5",
"11/01/2020","0.0","9.0","2.0",
"12/01/2020","0.0","11.0","-1.0",
"13/01/2020","0.0","12.0","-1.0",
"14/01/2020","0.0","11.0","6.0",
"15/01/2020","0.0","13.0","9.5",
"16/01/2020","4.7","16.5","4.0",
"17/01/2020","3.2","9.0","8.0",
"18/01/2020","12.2","13.0","4.0",
"19/01/2020","0.0","8.0","5.0",
"20/01/2020","0.0","5.0","0.0",
"21/01/2020","0.0","5.0","0.0",
"22/01/2020","4.5","12.0","4.0",
"23/01/2020","1.1","10.0","5.0",
"24/01/2020","0.0","13.0","5.5",
"25/01/2020","1.3","13.0","3.0",
"26/01/2020","2.1","15.0","7.0",
"27/01/2020","1.8","14.0","4.0",
"28/01/2020","0.0","14.0","8.0",
"29/01/2020","3.8","14.0","3.5",
"30/01/2020","0.4","17.0","10.0",
"31/01/2020","1.5","21.0","9.0",
"01/02/2020","0.0","21.0","9.0",
"02/02/2020","0.0","23.0","8.0",
"03/02/2020","0.0","24.0","5.0",
"04/02/2020","3.2","14.0","8.0",
"05/02/2020","0.0","15.0","2.0",
"06/02/2020","0.0","19.0","1.0",
"07/02/2020","0.0","17.0","7.0",
"08/02/2020","0.0","13.0","4.0",
"09/02/2020","0.0","15.0","4.0",
"10/02/2020","1.2","21.0","7.0",
"11/02/2020","5.6","12.0","8.0",
"12/02/2020","0.0","17.0","8.5",
"13/02/2020","1.0","17.0","6.0",
"14/02/2020","0.0","17.0","10.0",
"15/02/2020","0.0","19.0","4.0",
"16/02/2020","0.0","21.0","14.0",
"17/02/2020","5.1","12.5","12.0",
"18/02/2020","5.0","13.0","6.5",
"19/02/2020","0.0","16.0","4.0",
"20/02/2020","0.0","21.0","1.0",
"21/02/2020","0.0","17.0","5.0",
"22/02/2020","0.0","21.0","3.0",
"23/02/2020","0.0","23.5","2.5",
"24/02/2020","0.0","24.5","0.0",
"25/02/2020","18.0","12.0","5.0",
"26/02/2020","11.5","10.0","8.0",
"27/02/2020","16.0","14.5","6.5",
"28/02/2020","0.0","17.0","8.0",
"29/02/2020","4.5","16.0","9.0",
"01/03/2020","17.9","18.0","4.5",
"02/03/2020","15.5","9.0","8.0",
"03/03/2020","15.2","13.0","4.0",
"04/03/2020","2.1","16.0","6.0",
"05/03/2020","28.2","13.0","8.0",
"06/03/2020","39.7","9.0","5.5",
"07/03/2020","5.9","9.0","5.0",
"08/03/2020","9.3","13.0","3.5",
"09/03/2020","2.9","8.5","4.0",
"10/03/2020","1.0","17.0","6.0",
"11/03/2020","0.0","23.5","5.0",
"12/03/2020","0.0","13.0","5.5",
"13/03/2020","0.0","11.0","9.5",
"14/03/2020","0.0","15.5","4.5",
"15/03/2020","48.7","21.0","1.0",
"16/03/2020","5.1","10.0","4.0",
"17/03/2020","0.0","13.0","7.0",
"18/03/2020","0.0","21.0","6.5",
"19/03/2020","0.0","21.0","6.0",
"20/03/2020","0.0","20.0","9.0",
"21/03/2020","0.0","21.0","9.0",
"22/03/2020","0.5","17.0","8.0",
"23/03/2020","0.5","17.0","10.0",
"24/03/2020","0.0","20.5","9.0",
"25/03/2020","0.0","19.0","4.0",
"26/03/2020","0.0","13.0","7.0",
"27/03/2020","0.0","15.0","0.0",
"28/03/2020","0.0","17.0","2.0",
"29/03/2020","0.3","13.0","3.0",
"30/03/2020","3.3","8.0","2.0",
"31/03/2020","4.8","8.0","0.0",
"01/04/2020","2.0","13.0","6.0",
"02/04/2020","0.0","17.0","9.5",
"03/04/2020","0.0","16.0","4.0",
"04/04/2020","0.0","23.0","1.0",
"05/04/2020","2.3","21.0","7.0",
"06/04/2020","6.5","17.0","11.0",
"07/04/2020","1.4","17.0","11.0",
"08/04/2020","0.2","24.5","9.0",
"09/04/2020","0.0","25.0","10.0",
"10/04/2020","0.0","23.0","10.0",
"11/04/2020","19.2","21.0","11.0",
"12/04/2020","0.5","20.0","12.0",
"13/04/2020","0.0","21.0","8.0",
"14/04/2020","0.0","21.0","8.5",
"15/04/2020","0.0","21.0","10.0",
"16/04/2020","0.7","24.5","10.5",
"17/04/2020","16.0","23.5","12.0",
"18/04/2020","12.0","21.0","12.5",
"19/04/2020","0.5","17.0","12.5",
"20/04/2020","7.6","15.0","12.0",
"21/04/2020","17.1","12.0","11.0",
"22/04/2020","1.3","13.0","10.5",
"23/04/2020","0.1","21.0","11.0",
"24/04/2020","1.1","25.0","12.0",
"25/04/2020","1.7","21.0","12.0",
"26/04/2020","9.3","20.0","13.0",
"27/04/2020","16.4","17.0","13.0",
"28/04/2020","2.0","17.0","10.0",
"29/04/2020","0.0","21.0","9.0",
"30/04/2020","1.2","21.0","12.0",
"01/05/2020","4.3","20.0","13.0",
"02/05/2020","0.0","25.0","15.0",
"03/05/2020","0.0","28.0","12.0",
"04/05/2020","2.0","32.0","12.0",
"05/05/2020","0.0","25.0","13.0",
"06/05/2020","0.0","25.0","12.0",
"07/05/2020","0.0","29.0","12.0",
"08/05/2020","0.8","28.0","18.0",
"09/05/2020","7.0","28.0","12.0",
"10/05/2020","51.5","16.0","15.0",
"11/05/2020","6.9","16.0","12.0",
"12/05/2020","14.5","15.5","12.0",
"13/05/2020","0.5","17.0","12.0",
"14/05/2020","0.5","13.0","12.0",
"15/05/2020","0.1","13.0","12.0",
"16/05/2020","0.0","19.0","12.0",
"17/05/2020","0.0","21.0","12.0",
"18/05/2020","0.0","21.0","8.0",
"19/05/2020","0.0","24.5","9.0",
"20/05/2020","0.0","28.0","8.5",
"21/05/2020","0.0","28.5","9.0",
"22/05/2020","0.2","25.0","12.0",
"23/05/2020","1.5","17.0","15.0",
"24/05/2020","0.0","21.0","11.0",
"25/05/2020","0.0","25.0","12.0",
"26/05/2020","0.0","25.0","9.5",
"27/05/2020","0.0","28.5","12.0",
