%">"FECHA","PRECIPITACION ACUMULADA","TEMPERATURA MAXIMA","TEMPERATURA MINIMA",
"","L/M&2","  C","  C",
"28/05/2020","0.0","32.0","12.5",
"29/05/2020","0.0","29.0","12.0",
"30/05/2020","0.0","29.0","12.0",
"31/05/2020","0.0","29.0","13.0",
"01/06/2020","0.0","28.5","15.0",
"02/06/2020","0.0","28.5","15.5",
"03/06/2020","2.5","20.5","18.5",
"04/06/2020","30.1","16.5","13.0",
"05/06/2020","0.1","17.0","11.5",
"06/06/2020","7.0","21.0","12.0",
"07/06/2020","10.1","17.0","12.0",
"08/06/2020","15.1","14.0","11.0",
"09/06/2020","5.3","17.0","12.0",
"10/06/2020","0.3","18.0","12.0",
"11/06/2020","31.4","17.5","11.5",
"12/06/2020","2.4","21.0","8.0",
"13/06/2020","1.2","22.0","11.0",
"14/06/2020","0.0","24.0","13.0",
"15/06/2020","0.0","21.0","13.0",
"16/06/2020","5.2","21.0","12.0",
"17/06/2020","8.0","20.0","14.0",
"18/06/2020","0.0","21.0","10.0",
"19/06/2020","0.0","24.0","11.0",
"20/06/2020","0.0","23.0","14.0",
"21/06/2020","0.0","25.0","11.0",
"22/06/2020","0.0","25.0","16.0",
"23/06/2020","0.0","32.5","14.0",
"24/06/2020","0.0","33.0","16.0",
"25/06/2020","6.9","29.0","17.0",
"26/06/2020","0.2","21.0","17.0",
"27/06/2020","0.0","29.0","16.0",
"28/06/2020","0.0","25.0","16.0",
"29/06/2020","0.0","21.0","18.0",
"30/06/2020","0.0","28.5","15.0",
"01/07/2020","0.3","21.0","16.0",
"02/07/2020","2.0","19.0","16.0",
"03/07/2020","0.0","22.0","13.0",
"04/07/2020","0.0","24.0","11.0",
"05/07/2020","0.4","29.5","11.0",
"06/07/2020","0.0","21.0","15.0",
"07/07/2020","0.0","24.0","15.0",
"08/07/2020","0.0","28.5","12.5",
"09/07/2020","0.1","28.0","12.5",
"10/07/2020","0.0","21.0","18.5",
"11/07/2020","0.1","25.0","16.5",
"12/07/2020","8.5","26.0","15.0",
"13/07/2020","0.0","25.0","16.0",
"14/07/2020","0.0","23.0","12.5",
"15/07/2020","2.5","21.0","13.0",
"16/07/2020","1.0","20.0","13.5",
"17/07/2020","0.0","23.0","15.5",
"18/07/2020","0.1","29.0","13.0",
"19/07/2020","0.0","34.5","13.0",
"20/07/2020","0.0","29.0","14.0",
"21/07/2020","0.3","29.0","16.0",
"22/07/2020","0.0","31.5","16.0",
"23/07/2020","0.0","25.0","18.0",
"24/07/2020","0.0","25.0","13.0",
"25/07/2020","0.0","29.0","14.0",
"26/07/2020","0.0","29.0","15.0",
"27/07/2020","0.0","35.0","16.0",
"28/07/2020","0.5","24.0","19.0",
"29/07/2020","0.0","28.0","16.0",
"30/07/2020","0.0","39.5","16.0",
"31/07/2020","0.0","33.0","17.0",
"01/08/2020","0.5","21.0","18.0",
"02/08/2020","0.0","21.0","17.0",
"03/08/2020","1.2","21.0","14.0",
"04/08/2020","0.0","23.0","15.0",
"05/08/2020","0.0","32.0","13.0",
"06/08/2020","0.0","38.0","12.0",
"07/08/2020","0.0","39.0","18.0",
"08/08/2020","5.0","33.0","17.0",
"09/08/2020","0.3","33.0","18.0",
"10/08/2020","0.2","29.0","20.0",
"11/08/2020","0.0","29.0","19.0",
"12/08/2020","0.1","32.0","19.0",
"13/08/2020","0.0","24.0","17.0",
"14/08/2020","0.6","28.5","16.5",
"15/08/2020","1.1","29.0","17.0",
"16/08/2020","0.0","25.0","16.0",
"17/08/2020","0.0","29.0","12.0",
"18/08/2020","0.0","29.0","13.0",
"19/08/2020","0.0","37.0","15.0",
"20/08/2020","0.0","37.0","15.0",
"21/08/2020","29.5","29.0","16.0",
"22/08/2020","0.0","25.0","14.5",
"23/08/2020","0.0","24.0","15.0",
"24/08/2020","0.0","25.0","16.0",
"25/08/2020","0.0","32.0","12.5",
"26/08/2020","0.0","24.5","15.5",
"27/08/2020","1.0","30.0","16.0",
"28/08/2020","4.0","18.0","17.0",
"29/08/2020","44.5","20.0","13.0",
"30/08/2020","4.5","19.0","12.5",
"31/08/2020","0.0","21.0","11.0",
"01/09/2020","0.0","25.0","11.0",
"02/09/2020","0.0","25.0","12.0",
"03/09/2020","0.0","28.0","10.0",
"04/09/2020","0.0","32.0","12.0",
"05/09/2020","0.5","21.0","12.0",
"06/09/2020","0.1","21.0","15.0",
"07/09/2020","0.0","21.0","13.0",
"08/09/2020","0.0","25.0","11.0",
"09/09/2020","0.0","21.0","10.0",
"10/09/2020","0.0","25.0","11.0",
"11/09/2020","0.0","25.0","12.0",
"12/09/2020","0.0","28.5","13.5",
"13/09/2020","0.0","32.0","13.5",
"14/09/2020","0.0","33.0","14.0",
"15/09/2020","0.0","32.0","19.0",
"16/09/2020","0.0","31.0","14.0",
"17/09/2020","0.0","28.0","15.0",
"18/09/2020","0.0","28.0","18.0",
"19/09/2020","11.7","24.0","19.0",
"20/09/2020","0.0","25.0","14.0",
"21/09/2020","8.3","21.0","16.0",
"22/09/2020","0.0","25.0","15.0",
"23/09/2020","4.2","25.0","15.0",
"24/09/2020","19.8","24.5","14.0",
"25/09/2020","55.8","13.0","9.0",
"26/09/2020","25.9","13.0","11.0",
"27/09/2020","0.2","16.0","8.0",
"28/09/2020","0.0","17.0","9.0",
"29/09/2020","0.0","21.0","9.0",
"30/09/2020","0.0","25.0","8.5",
"01/10/2020","19.5","17.0","9.0",
"02/10/2020","26.7","17.0","11.0",
"03/10/2020","19.1","13.0","9.0",
"04/10/2020","5.0","13.0","8.0",
"05/10/2020","0.5","18.0","9.0",
"06/10/2020","8.2","19.0","9.0",
"07/10/2020","1.4","16.5","15.0",
"08/10/2020","0.0","24.0","12.0",
"09/10/2020","2.1","17.0","12.0",
"10/10/2020","6.4","17.0","12.0",
"11/10/2020","14.2","13.0","9.0",
"12/10/2020","9.5","13.0","9.5",
"13/10/2020","20.0","12.0","10.0",
"14/10/2020","27.0","13.0","8.0",
"15/10/2020","3.1","12.5","8.0",
"16/10/2020","0.0","13.0","7.5",
"17/10/2020","0.0","17.0","5.5",
"18/10/2020","0.0","20.0","5.5",
"19/10/2020","0.0","24.0","7.0",
"20/10/2020","3.0","20.5","18.0",
"21/10/2020","0.0","24.0","19.0",
"22/10/2020","16.0","20.5","12.0",
"23/10/2020","27.0","17.0","13.0",
"24/10/2020","0.0","17.0","8.5",
"25/10/2020","34.2","17.0","11.5",
"26/10/2020","8.5","12.0","8.0",
"27/10/2020","2.7","16.0","8.0",
"28/10/2020","0.0","17.0","9.5",
"29/10/2020","0.0","21.0","8.0",
"30/10/2020","0.0","21.0","6.0",
"31/10/2020","0.0","24.0","6.5",
"01/11/2020","0.0","25.0","8.0",
"02/11/2020","3.2","24.0","15.0",
"03/11/2020","6.2","13.0","10.0",
"04/11/2020","0.0","11.0","6.0",
"05/11/2020","0.0","18.0","4.5",
"06/11/2020","0.0","23.0","10.0",
"07/11/2020","12.5","16.0","12.0",
"08/11/2020","0.3","19.5","7.0",
"09/11/2020","0.3","21.0","8.0",
"10/11/2020","0.2","17.0","6.5",
"11/11/2020","0.0","20.0","7.0",
"12/11/2020","0.0","21.0","7.0",
"13/11/2020","0.0","19.0","8.0",
"14/11/2020","0.0","17.0","8.5",
"15/11/2020","5.8","20.0","12.5",
"16/11/2020","0.0","13.0","11.0",
"17/11/2020","0.0","17.0","5.0",
"18/11/2020","0.0","21.0","4.0",
"19/11/2020","5.2","12.0","5.0",
"20/11/2020","0.0","13.0","8.0",
"21/11/2020","0.0","13.0","0.5",
"22/11/2020","0.0","17.0","-2.0",
"23/11/2020","0.0","14.5","-2.5",
"24/11/2020","0.0","16.5","0.0",
"25/11/2020","0.0","17.5","5.0",
"26/11/2020","0.0","19.0","7.0",
"27/11/2020","0.0","19.0","10.0",
"28/11/2020","0.0","16.5","3.5",
"29/11/2020","0.0","18.0","3.0",
"30/11/2020","0.0","18.0","4.0",
"01/12/2020","5.5","12.0","4.0",
"02/12/2020","3.0","8.0","5.0",
"03/12/2020","9.5","12.0","4.0",
"04/12/2020","4.6","9.0","5.0",
"05/12/2020","25.5","6.0","2.5",
"06/12/2020","25.5","5.5","4.0",
"07/12/2020","27.7","8.0","4.5",
"08/12/2020","34.2","8.5","4.5",
"09/12/2020","29.5","11.0","3.5",
"10/12/2020","41.0","11.5","4.0",
"11/12/2020","33.9","13.0","8.0",
"12/12/2020","9.3","10.5","10.0",
"13/12/2020","0.0","14.0","7.5",
"14/12/2020","3.3","16.5","9.0",
"15/12/2020","0.0","12.0","9.0",
"16/12/2020","0.0","15.0","4.0",
"17/12/2020","0.0","12.0","9.0",
"18/12/2020","9.3","13.0","4.0",
"19/12/2020","0.0","16.0","12.0",
"20/12/2020","2.0","13.0","4.5",
"21/12/2020","0.0","13.0","5.0",
"22/12/2020","0.0","17.0","4.5",
"23/12/2020","1.7","15.0","12.5",
"24/12/2020","21.0","9.0","7.0",
"25/12/2020","4.8","5.0","2.0",
"26/12/2020","0.0","8.0","2.5",
"27/12/2020","17.5","9.0","2.0",
"28/12/2020","12.0","8.0","4.0",
"29/12/2020","28.3","8.0","5.0",
"30/12/2020","5.0","7.0","4.0",
"NOTA: TIPO DE DATOS SEG&UACUTE;N EL COLOR:",
" - VALORES DE PRECIPITACION DIARIOS",
"- VALORES DE PRECIPITACION ACUMULADOS DE ESE DIA Y DIAS ANTERIORES",
