%">"FECHA","PRECIPITACION ACUMULADA","TEMPERATURA MAXIMA","TEMPERATURA MINIMA",
"","L/M&2","  C","  C",
"01/01/2024","0.0","17.7","4.2",
"02/01/2024","0.0","15.2","6.4",
"03/01/2024","0.2","14.2","9.9",
"04/01/2024","8.4","13.9","2.1",
"05/01/2024","64.2","8.9","7.5",
"06/01/2024","33.2","6.3","4.5",
"07/01/2024","0.0","6.3","3.9",
"08/01/2024","0.0","6.3","2.7",
"09/01/2024","0.4","5.1","-2.0",
"10/01/2024","4.4","5.2","-3.0",
"11/01/2024","0.0","5.6","1.8",
"12/01/2024","0.0","8.9","-0.2",
"13/01/2024","0.0","10.9","-1.5",
"14/01/2024","3.1","11.7","5.5",
"15/01/2024","8.1","12.9","5.5",
"16/01/2024","1.1","18.0","8.4",
"17/01/2024","0.0","19.8","9.8",
"18/01/2024","5.9","18.7","14.8",
"19/01/2024","0.0","5.8","2.9",
"20/01/2024","0.0","10.4","-3.4",
"21/01/2024","0.0","15.5","2.0",
"22/01/2024","0.4","16.0","5.9",
"23/01/2024","0.0","18.9","4.0",
"24/01/2024","0.0","19.8","6.0",
"25/01/2024","0.0","16.8","2.9",
"26/01/2024","0.0","16.0","2.8",
"27/01/2024","0.0","19.0","3.8",
"28/01/2024","0.0","21.0","6.3",
"29/01/2024","0.0","18.0","12.0",
"30/01/2024","0.0","17.2","10.0",
"31/01/2024","0.0","19.0","1.9",
"01/02/2024","0.7","7.8","1.8",
"02/02/2024","0.4","14.5","7.8",
"03/02/2024","0.0","20.7","5.4",
"04/02/2024","0.0","15.4","4.0",
"05/02/2024","0.0","17.7","6.1",
"06/02/2024","0.0","12.9","5.9",
"07/02/2024","3.2","17.5","0.9",
"08/02/2024","1.3","16.2","7.6",
"09/02/2024","14.5","16.4","11.0",
"10/02/2024","4.7","10.8","7.8",
"11/02/2024","0.3","14.0","6.0",
"12/02/2024","4.0","13.8","4.4",
"13/02/2024","0.0","21.5","3.8",
"14/02/2024","0.0","18.5","3.9",
"15/02/2024","22.0","24.5","14.1",
"16/02/2024","5.2","15.5","10.2",
"17/02/2024","0.0","15.9","7.5",
"18/02/2024","3.1","18.3","2.9",
"19/02/2024","0.2","15.6","8.6",
"20/02/2024","0.0","17.0","8.6",
"21/02/2024","0.0","16.4","1.8",
"22/02/2024","11.3","19.7","12.6",
"23/02/2024","10.0","11.6","3.4",
"24/02/2024","14.9","9.2","4.0",
"25/02/2024","9.2","13.9","4.1",
"26/02/2024","88.1","11.9","7.4",
"27/02/2024","39.2","8.1","6.4",
"28/02/2024","4.0","11.4","5.7",
"29/02/2024","18.0","14.4","6.9",
"01/03/2024","7.7","13.6","4.4",
"02/03/2024","33.1","13.7","9.4",
"03/03/2024","8.5","7.9","3.2",
"04/03/2024","6.4","13.0","2.3",
"05/03/2024","0.0","13.6","3.3",
"06/03/2024","0.0","18.3","0.8",
"07/03/2024","2.7","20.3","0.8",
"08/03/2024","8.5","14.2","5.8",
"09/03/2024","1.5","15.2","7.2",
"10/03/2024","20.2","13.6","4.4",
"11/03/2024","7.2","10.4","6.9",
"12/03/2024","0.0","15.4","6.2",
"13/03/2024","0.0","23.2","3.1",
"14/03/2024","0.0","23.9","8.3",
"15/03/2024","0.0","22.9","5.9",
"16/03/2024","0.0","24.0","6.9",
"17/03/2024","0.0","24.3","9.7",
"18/03/2024","0.0","24.0","11.4",
"19/03/2024","0.0","25.2","10.1",
"20/03/2024","0.0","23.4","11.3",
"21/03/2024","0.0","25.3","11.7",
"22/03/2024","0.1","26.9","10.5",
"23/03/2024","0.3","16.9","11.0",
"24/03/2024","0.0","14.8","9.1",
"25/03/2024","26.1","18.7","5.5",
"26/03/2024","2.1","14.3","4.9",
"27/03/2024","0.2","16.7","1.7",
"28/03/2024","9.4","18.9","7.6",
"29/03/2024","22.1","12.0","10.5",
"30/03/2024","1.7","17.3","4.3",
"31/03/2024","5.1","13.0","5.9",
"01/04/2024","2.9","18.4","4.1",
"02/04/2024","0.0","16.3","3.9",
"03/04/2024","0.0","22.5","- -",
"04/04/2024","0.0","25.1","8.5",
"05/04/2024","0.0","25.5","- -",
"06/04/2024","0.0","28.0","15.3",
"07/04/2024","0.0","23.3","14.0",
"08/04/2024","20.8","26.0","10.6",
"09/04/2024","5.5","12.9","6.6",
"10/04/2024","- -","- -","6.7",
"11/04/2024","0.0","22.2","- -",
"12/04/2024","0.0","30.0","6.2",
"13/04/2024","0.0","31.7","6.3",
"14/04/2024","0.0","- -","8.1",
"15/04/2024","1.4","15.6","9.3",
"16/04/2024","9.4","12.4","9.7",
"17/04/2024","2.5","13.5","8.5",
"18/04/2024","1.0","15.2","6.4",
"19/04/2024","0.0","23.2","5.4",
"20/04/2024","0.0","19.5","3.3",
"21/04/2024","0.0","16.8","2.8",
"22/04/2024","2.5","13.5","2.8",
"23/04/2024","3.7","12.7","3.8",
"24/04/2024","2.5","11.9","4.4",
"25/04/2024","0.3","14.2","5.1",
"26/04/2024","1.8","18.0","7.6",
"27/04/2024","10.9","17.4","7.8",
"28/04/2024","0.0","18.9","5.3",
"29/04/2024","0.3","12.8","5.6",
"NOTA: TIPO DE DATOS SEG&UACUTE;N EL COLOR:",
" - VALORES DE PRECIPITACION DIARIOS",
"- VALORES DE PRECIPITACION ACUMULADOS DE ESE DIA Y DIAS ANTERIORES",
