%">"FECHA","PRECIPITACION ACUMULADA","TEMPERATURA MAXIMA","TEMPERATURA MINIMA",
"","L/M&2","  C","  C",
"16/06/2021","4.2","32.1","17.0",
"17/06/2021","15.5","20.6","17.2",
"18/06/2021","7.4","26.3","14.8",
"19/06/2021","1.2","27.7","18.4",
"20/06/2021","1.1","25.8","16.5",
"21/06/2021","9.0","23.7","13.1",
"22/06/2021","9.5","20.3","13.6",
"23/06/2021","9.9","15.9","14.0",
"24/06/2021","0.0","20.2","13.8",
"25/06/2021","0.0","24.7","13.5",
"26/06/2021","0.5","30.7","14.2",
"27/06/2021","1.4","18.4","15.9",
"28/06/2021","0.0","23.9","10.6",
"29/06/2021","0.0","21.8","11.8",
"30/06/2021","0.0","25.1","13.1",
"01/07/2021","0.0","25.4","14.9",
"02/07/2021","0.0","34.5","16.3",
"03/07/2021","0.4","24.6","17.8",
"04/07/2021","0.0","26.0","17.3",
"05/07/2021","0.4","- -","16.0",
"06/07/2021","4.4","- -","- -",
"07/07/2021","1.0","- -","14.9",
"08/07/2021","1.7","- -","13.7",
"09/07/2021","1.0","- -","12.3",
"10/07/2021","0.0","- -","13.7",
"11/07/2021","1.0","- -","13.2",
"12/07/2021","13.8","18.0","13.8",
"13/07/2021","10.1","16.0","13.0",
"14/07/2021","2.2","17.0","13.1",
"15/07/2021","0.1","21.0","14.1",
"16/07/2021","0.0","24.0","14.4",
"17/07/2021","0.0","27.0","15.7",
"18/07/2021","0.0","27.0","14.7",
"19/07/2021","0.0","30.0","15.0",
"20/07/2021","0.0","31.0","17.0",
"21/07/2021","0.0","30.0","20.0",
"22/07/2021","0.0","31.0","20.0",
"23/07/2021","0.0","30.0","20.0",
"24/07/2021","0.0","26.0","16.0",
"25/07/2021","0.0","25.0","16.0",
"26/07/2021","0.3","26.0","16.0",
"27/07/2021","0.0","24.0","13.0",
"28/07/2021","0.0","22.0","17.0",
"29/07/2021","0.0","28.0","17.0",
"30/07/2021","0.9","25.0","18.0",
"31/07/2021","12.0","19.0","16.0",
"01/08/2021","0.0","20.0","12.8",
"02/08/2021","0.0","25.0","11.8",
"03/08/2021","10.0","26.0","12.0",
"04/08/2021","1.4","23.0","13.6",
"05/08/2021","0.5","29.0","14.4",
"06/08/2021","1.0","22.0","14.8",
"07/08/2021","0.0","20.0","15.6",
"08/08/2021","0.0","22.0","13.0",
"09/08/2021","0.0","30.5","12.9",
"10/08/2021","0.0","28.9","15.9",
"11/08/2021","0.0","30.1","16.4",
"12/08/2021","0.0","30.1","18.7",
"13/08/2021","0.0","29.0","18.0",
"14/08/2021","0.0","32.0","18.3",
"15/08/2021","0.3","22.0","19.4",
"16/08/2021","3.2","23.6","16.5",
"17/08/2021","1.2","21.5","15.3",
"18/08/2021","0.5","20.0","14.2",
"19/08/2021","0.0","21.2","14.4",
"20/08/2021","0.0","34.2","15.0",
"21/08/2021","0.0","25.4","19.3",
"22/08/2021","0.0","24.0","15.3",
"23/08/2021","0.0","25.2","15.6",
"24/08/2021","0.0","26.5","13.5",
"25/08/2021","0.0","28.5","13.8",
"26/08/2021","0.0","30.1","14.1",
"27/08/2021","0.0","27.9","13.0",
"28/08/2021","0.0","25.5","12.9",
"29/08/2021","0.0","26.0","10.9",
"30/08/2021","0.0","24.5","11.0",
"31/08/2021","0.3","28.3","11.7",
"01/09/2021","9.5","22.0","14.7",
"02/09/2021","14.0","27.1","16.4",
"03/09/2021","0.0","24.7","16.3",
"04/09/2021","0.0","29.7","16.6",
"05/09/2021","0.0","34.3","17.5",
"06/09/2021","0.0","36.4","16.4",
"07/09/2021","0.0","25.6","19.4",
"08/09/2021","5.2","29.2","16.8",
"09/09/2021","14.1","24.0","17.1",
"10/09/2021","0.0","24.1","17.2",
"11/09/2021","0.0","27.4","16.3",
"12/09/2021","0.0","30.9","14.4",
"13/09/2021","0.6","27.6","16.0",
"14/09/2021","0.5","28.4","17.9",
"15/09/2021","15.8","28.0","15.8",
"16/09/2021","11.1","20.4","15.7",
"17/09/2021","4.3","27.3","13.7",
"18/09/2021","6.1","19.0","13.9",
"19/09/2021","6.9","18.4","12.2",
"20/09/2021","21.3","16.5","13.2",
"21/09/2021","1.0","18.7","11.3",
"22/09/2021","0.0","20.4","11.3",
"23/09/2021","0.0","22.4","12.2",
"24/09/2021","0.8","26.0","14.0",
"25/09/2021","3.2","27.8","14.5",
"26/09/2021","0.0","24.9","13.4",
"27/09/2021","1.2","22.5","13.4",
"28/09/2021","1.5","23.0","12.8",
"29/09/2021","2.0","18.4","13.2",
"30/09/2021","0.0","21.1","10.5",
"01/10/2021","0.0","24.2","8.3",
"02/10/2021","0.0","26.1","9.4",
"03/10/2021","2.4","17.4","11.1",
"04/10/2021","0.9","19.9","10.2",
"05/10/2021","9.4","16.2","8.4",
"06/10/2021","0.0","19.3","11.5",
"07/10/2021","0.0","20.9","8.8",
"08/10/2021","0.0","20.5","7.5",
"09/10/2021","0.0","17.5","7.6",
"10/10/2021","0.0","19.4","9.1",
"11/10/2021","0.0","20.4","9.5",
"12/10/2021","0.0","19.5","8.4",
"13/10/2021","0.0","18.1","7.6",
"14/10/2021","0.0","23.9","4.8",
"15/10/2021","0.0","22.4","8.0",
"16/10/2021","0.0","22.2","12.1",
"17/10/2021","0.0","22.3","10.4",
"18/10/2021","0.0","25.6","11.3",
"19/10/2021","0.0","27.9","12.3",
"20/10/2021","0.6","27.4","17.5",
"21/10/2021","2.5","18.7","13.3",
"22/10/2021","1.0","15.4","11.9",
"23/10/2021","0.0","18.7","8.5",
"24/10/2021","0.0","21.9","9.8",
"25/10/2021","1.5","20.5","4.4",
"26/10/2021","0.0","18.7","9.2",
"27/10/2021","0.0","21.0","8.4",
"28/10/2021","0.7","21.7","6.5",
"29/10/2021","1.1","18.4","6.8",
"30/10/2021","3.3","18.4","13.9",
"31/10/2021","10.8","22.0","11.3",
"01/11/2021","0.4","16.0","11.6",
"02/11/2021","17.0","19.3","7.5",
"03/11/2021","22.6","10.1","7.5",
"04/11/2021","22.2","10.5","6.8",
"05/11/2021","1.4","10.5","6.7",
"06/11/2021","0.0","9.9","3.5",
"07/11/2021","14.0","10.8","3.5",
"08/11/2021","0.0","14.0","8.4",
"09/11/2021","0.0","13.0","3.4",
"10/11/2021","0.0","14.6","1.3",
"11/11/2021","0.0","15.7","6.8",
"12/11/2021","0.0","12.9","6.9",
"13/11/2021","0.9","15.0","7.9",
"14/11/2021","14.1","12.1","10.0",
"15/11/2021","0.3","12.1","8.5",
"16/11/2021","0.4","12.1","8.0",
"17/11/2021","0.0","8.4","7.9",
"18/11/2021","0.0","14.0","4.6",
"19/11/2021","0.0","17.4","1.3",
"20/11/2021","0.0","16.1","1.6",
"21/11/2021","5.3","13.9","3.5",
"22/11/2021","0.0","10.7","4.9",
"23/11/2021","12.2","9.8","5.4",
"24/11/2021","43.5","10.1","4.9",
"25/11/2021","34.0","7.9","5.0",
"26/11/2021","27.6","7.3","4.5",
"27/11/2021","43.1","5.9","5.1",
"28/11/2021","55.1","6.4","1.2",
"29/11/2021","7.9","8.4","2.9",
"30/11/2021","0.0","12.0","7.9",
"01/12/2021","32.0","9.7","4.7",
"02/12/2021","22.0","8.0","5.2",
"03/12/2021","2.7","7.9","4.4",
"04/12/2021","36.3","12.5","4.7",
"05/12/2021","22.3","8.7","5.0",
"06/12/2021","18.6","10.6","4.0",
"07/12/2021","20.5","13.5","4.1",
"08/12/2021","28.2","6.6","2.9",
"09/12/2021","116.0","12.5","2.9",
"10/12/2021","53.7","10.4","9.3",
"11/12/2021","13.2","9.9","8.1",
"12/12/2021","0.0","13.5","8.1",
"13/12/2021","0.0","14.6","1.7",
"14/12/2021","0.0","11.6","1.0",
"15/12/2021","0.0","11.7","-1.0",
"16/12/2021","0.0","13.1","-1.0",
"17/12/2021","0.0","13.9","-0.9",
"18/12/2021","0.0","13.2","-0.9",
"19/12/2021","0.0","13.2","-0.4",
"20/12/2021","0.0","13.2","-0.6",
"21/12/2021","0.0","14.2","-0.8",
"22/12/2021","0.0","17.9","1.1",
"23/12/2021","0.0","16.1","10.8",
"24/12/2021","0.0","16.3","10.1",
"25/12/2021","0.0","15.1","8.8",
"26/12/2021","20.0","13.6","4.6",
"27/12/2021","5.5","16.4","5.8",
"28/12/2021","0.0","18.7","11.3",
"29/12/2021","0.0","18.0","6.8",
"30/12/2021","0.0","19.4","4.9",
"NOTA: TIPO DE DATOS SEG&UACUTE;N EL COLOR:",
" - VALORES DE PRECIPITACION DIARIOS",
"- VALORES DE PRECIPITACION ACUMULADOS DE ESE DIA Y DIAS ANTERIORES",
