%">"FECHA","PRECIPITACION ACUMULADA","TEMPERATURA MAXIMA","TEMPERATURA MINIMA",
"","L/M&2","  C","  C",
"01/01/2021","10.3","8.5","2.0",
"02/01/2021","3.0","5.0","3.0",
"03/01/2021","5.1","5.0","0.0",
"04/01/2021","14.4","5.0","1.5",
"05/01/2021","7.5","3.5","0.5",
"06/01/2021","0.0","6.0","-1.0",
"07/01/2021","0.0","5.0","-3.0",
"08/01/2021","0.0","5.0","-3.0",
"09/01/2021","2.1","1.0","0.0",
"10/01/2021","0.0","4.0","-0.5",
"11/01/2021","0.0","6.0","1.0",
"12/01/2021","1.2","5.0","-0.5",
"13/01/2021","2.8","9.0","0.5",
"14/01/2021","5.1","11.0","4.0",
"15/01/2021","4.4","9.0","6.0",
"16/01/2021","0.0","12.0","4.0",
"17/01/2021","5.2","9.0","3.5",
"18/01/2021","0.6","9.0","4.0",
"19/01/2021","0.0","13.0","0.0",
"20/01/2021","0.0","10.5","9.5",
"21/01/2021","9.1","13.5","9.0",
"22/01/2021","13.5","11.0","8.5",
"23/01/2021","12.1","13.0","4.0",
"24/01/2021","4.6","9.0","5.0",
"25/01/2021","3.5","9.0","5.0",
"26/01/2021","16.5","10.0","2.0",
"27/01/2021","11.9","12.5","8.0",
"28/01/2021","1.6","21.0","10.0",
"29/01/2021","3.1","15.0","10.0",
"30/01/2021","25.4","12.0","9.5",
"31/01/2021","13.8","12.0","9.0",
"01/02/2021","15.9","13.0","8.0",
"02/02/2021","0.0","19.5","8.0",
"03/02/2021","0.0","17.0","13.0",
"04/02/2021","0.9","16.5","11.0",
"05/02/2021","2.0","15.0","8.5",
"06/02/2021","24.5","11.0","10.0",
"07/02/2021","4.0","11.0","5.5",
"08/02/2021","9.0","12.0","6.0",
"09/02/2021","3.0","11.0","6.0",
"10/02/2021","2.0","9.0","6.0",
"11/02/2021","5.0","19.0","4.0",
"12/02/2021","30.0","14.0","9.0",
"13/02/2021","0.0","15.0","8.0",
"14/02/2021","0.0","16.5","3.0",
"15/02/2021","0.0","16.0","9.5",
"16/02/2021","0.0","16.0","11.0",
"17/02/2021","0.0","20.0","5.0",
"18/02/2021","0.0","20.5","13.0",
"19/02/2021","0.0","21.0","7.0",
"20/02/2021","0.0","24.0","17.0",
"21/02/2021","15.7","17.5","10.0",
"22/02/2021","4.5","11.0","8.0",
"23/02/2021","0.0","18.0","6.0",
"24/02/2021","0.0","21.0","12.0",
"25/02/2021","0.0","18.0","12.0",
"26/02/2021","0.0","15.0","11.0",
"27/02/2021","0.0","15.0","11.0",
"28/02/2021","0.5","13.0","6.0",
"01/03/2021","0.0","17.0","8.0",
"02/03/2021","0.0","16.0","11.0",
"03/03/2021","0.0","17.0","9.0",
"04/03/2021","0.0","17.0","5.0",
"05/03/2021","0.0","14.0","6.0",
"06/03/2021","0.0","10.0","5.0",
"07/03/2021","1.1","13.0","6.0",
"08/03/2021","2.4","11.0","7.0",
"09/03/2021","0.6","9.0","7.0",
"10/03/2021","0.0","20.0","1.0",
"11/03/2021","1.6","22.0","4.5",
"12/03/2021","1.9","13.0","8.0",
"13/03/2021","7.4","17.0","2.0",
"14/03/2021","7.5","11.0","9.0",
"15/03/2021","3.4","11.0","7.0",
"16/03/2021","2.6","13.0","7.0",
"17/03/2021","0.0","15.0","8.0",
"18/03/2021","8.3","9.5","5.0",
"19/03/2021","10.2","7.5","4.0",
"20/03/2021","0.0","11.5","3.5",
"21/03/2021","0.0","13.0","0.0",
"22/03/2021","0.0","13.5","4.0",
"23/03/2021","0.0","19.0","2.0",
"24/03/2021","0.0","20.0","1.5",
"25/03/2021","0.0","19.0","9.5",
"26/03/2021","0.0","15.5","6.0",
"27/03/2021","0.0","17.0","7.0",
"28/03/2021","0.0","24.0","5.0",
"29/03/2021","0.0","26.0","5.0",
"30/03/2021","0.0","26.0","11.0",
"31/03/2021","0.0","27.5","11.0",
"01/04/2021","0.0","25.0","10.0",
"02/04/2021","0.0","22.5","10.0",
"03/04/2021","0.0","16.5","9.5",
"04/04/2021","0.0","16.5","3.5",
"05/04/2021","0.2","20.0","2.5",
"06/04/2021","0.2","11.0","6.5",
"07/04/2021","0.0","14.5","0.5",
"08/04/2021","0.0","18.0","2.0",
"09/04/2021","0.0","15.0","12.0",
"10/04/2021","17.2","20.5","11.5",
"11/04/2021","5.3","12.0","11.0",
"12/04/2021","0.0","13.0","5.0",
"13/04/2021","0.0","17.0","2.0",
"14/04/2021","0.0","19.0","1.0",
"15/04/2021","0.0","16.0","0.5",
"16/04/2021","0.0","15.0","0.0",
"17/04/2021","0.0","12.0","1.0",
"18/04/2021","0.0","17.0","7.0",
"19/04/2021","0.0","23.0","1.0",
"20/04/2021","0.0","20.5","9.0",
"21/04/2021","0.5","21.0","5.0",
"22/04/2021","0.0","20.0","9.0",
"23/04/2021","0.0","25.0","8.0",
"24/04/2021","0.0","25.0","11.0",
"25/04/2021","0.0","21.0","13.0",
"26/04/2021","14.1","15.0","13.0",
"27/04/2021","1.1","13.0","12.0",
"28/04/2021","4.8","15.0","10.0",
"29/04/2021","8.1","12.0","10.0",
"30/04/2021","4.2","13.0","11.0",
"01/05/2021","1.9","13.0","11.0",
"02/05/2021","0.0","16.0","6.0",
"03/05/2021","0.0","20.5","4.0",
"04/05/2021","0.0","22.0","5.0",
"05/05/2021","1.0","20.0","8.0",
"06/05/2021","0.0","22.5","8.0",
"07/05/2021","0.0","24.0","13.5",
"08/05/2021","0.0","32.0","11.5",
"09/05/2021","14.8","23.0","20.0",
"10/05/2021","13.5","22.0","9.0",
"11/05/2021","0.0","16.0","9.5",
"12/05/2021","9.2","20.0","9.5",
"13/05/2021","13.6","19.0","8.0",
"14/05/2021","2.0","16.0","8.0",
"15/05/2021","1.0","16.0","9.0",
"16/05/2021","1.8","14.0","11.0",
"17/05/2021","0.0","18.0","9.0",
"18/05/2021","2.5","23.0","8.0",
"19/05/2021","0.0","17.0","9.0",
"20/05/2021","0.0","27.0","6.0",
"21/05/2021","1.0","19.0","6.0",
"22/05/2021","2.1","13.0","8.0",
"23/05/2021","0.0","20.0","7.0",
"24/05/2021","0.9","15.5","8.0",
"25/05/2021","0.0","16.5","10.5",
"26/05/2021","0.0","21.0","6.0",
"27/05/2021","0.0","26.0","9.0",
"28/05/2021","0.0","28.5","11.0",
"29/05/2021","0.0","25.0","15.0",
"30/05/2021","1.0","25.0","14.0",
"31/05/2021","1.8","32.0","14.0",
"01/06/2021","2.5","21.0","17.0",
"02/06/2021","0.0","27.0","14.0",
"03/06/2021","18.4","19.0","14.5",
"04/06/2021","27.0","16.0","13.5",
"05/06/2021","0.0","16.0","12.0",
"06/06/2021","0.0","23.0","14.0",
"07/06/2021","0.0","24.0","12.0",
"08/06/2021","0.0","28.0","13.0",
"09/06/2021","0.0","22.0","13.0",
"10/06/2021","0.0","25.0","15.0",
"11/06/2021","0.0","24.0","12.0",
"12/06/2021","0.0","28.0","18.0",
"13/06/2021","0.0","33.0","17.0",
"14/06/2021","0.0","31.5","17.0",
"15/06/2021","0.1","29.0","16.0",
