site,tree,campaign,sampling_date,d15N_base_phloem,d13C_base_phloem
MSA,MSA1,spring23,20230531,2.7360688,-26.6375743
MSA,MSA2,spring23,20230530,-1.1878437,NA
MSA,MSA3,spring23,20230531,2.9250215,-25.275046
MSA,MSA4,spring23,20230601,1.7920887,-25.1721696
MSA,MSA5,spring23,20230531,4.2633981,-25.40489
MSA,MSA6,spring23,20230601,1.6524667,NA
ART,ART1,spring23,20230607,4.0918625,-26.6693708
ART,ART2,spring23,20230607,2.27179,-27.8729248
ART,ART3,spring23,20230607,1.8808484,-26.7862304
ART,ART4,spring23,20230607,0.725975,-27.2167132
ART,ART5,spring23,20230607,0.9882649,-26.7892268
BER,BER1,spring23,20230608,0.6302342,-28.9426396
BER,BER2,spring23,20230608,0.7708535,-27.6132368
BER,BER3,spring23,20230608,0.8536294,-28.4272588
BER,BER4,spring23,20230608,4.4478986,-25.8723284
BER,BER5,spring23,20230608,3.0387137,-26.9799976
BER,BER6,spring23,20230608,0.4407472,-27.5632968
ITU,ITU1,spring23,20230606,1.463977,-26.7302976
ITU,ITU2,spring23,20230606,-1.2795953,-28.0726848
ITU,ITU3,spring23,20230606,0.6053017,-27.6162332
ITU,ITU4,spring23,20230606,1.5028717,-27.5383268
ITU,ITU5,spring23,20230606,1.9456729,-26.688348
ITU,ITU6,spring23,20230606,-0.779948,-28.2294964
DIU,DIU1,spring23,20230615,1.2994225,-25.4088852
DIU,DIU2,spring23,20230615,2.4971798,-26.7672532
DIU,DIU3,spring23,20230615,2.1536032,-26.2516252
DIU,DIU4,spring23,20230615,1.0271596,-25.5726884
DIU,DIU5,spring23,20230615,1.7482075,-27.6132368
DIU,DIU6,spring23,20230615,0.2542521,-27.1607804
MSA,MSA1,summer23,20230823,1.1458383,-27.3565452
MSA,MSA2,summer23,20230822,-2.4374606,-27.3115992
MSA,MSA3,summer23,20230823,-0.3201927,-28.2434796
MSA,MSA5,summer23,20230824,0.4517175,-27.7001324
MSA,MSA6,summer23,20230824,-0.5495717,-26.3497548
MSA,MSA1,summer23,20230823,1.5417664,-26.5704896
MSA,MSA2,summer23,20230822,-0.9953648,-26.4905856
MSA,MSA3,summer23,20230823,-0.6692477,-27.9758012
MSA,MSA1,summer23b,20230904,0.9214458,-26.6763624
MSA,MSA2,summer23b,20230904,-0.7849345,-27.142802
MSA,MSA3,summer23b,20230904,-1.3504036,-27.412478
MSA,MSA4,summer23b,20230904,-0.0050459,-28.1156332
MSA,MSA5,summer23b,20230904,-0.7191127,-26.5754836
MSA,MSA6,summer23b,20230904,-0.3999767,-27.2286988
ART,ART1,summer23,20230831,-1.7912102,-29.7117156
ART,ART2,summer23,20230831,-1.0931002,-29.3761188
ART,ART3,summer23,20230831,-0.9464971,-28.2344904
ART,ART4,summer23,20230831,-4.4310633,-28.6070428
ART,ART6,summer23,20230831,-1.448139,-29.8835092
BER,BER1,summer23,20230830,-1.976708,-29.519946
BER,BER2,summer23,20230830,-0.4129416,-28.4222648
BER,BER3,summer23,20230830,0.2063817,-29.759658
BER,BER4,summer23,20230830,3.1743465,-27.3036088
BER,BER5,summer23,20230830,0.4048444,-29.894496
BER,BER6,summer23,20230830,0.6571613,-28.8946972
ITU,ITU1,summer23,20230829,-2.3237684,-29.235288
ITU,ITU2,summer23,20230829,0.3400199,-28.5451172
ITU,ITU3,summer23,20230829,-2.1721788,-28.7898232
ITU,ITU4,summer23,20230829,-0.8138562,-29.2882244
ITU,ITU5,summer23,20230829,-0.1885491,-28.3143944
ITU,ITU6,summer23,20230829,-0.0160162,-28.9386444
DIU,DIU1,summer23,20230901,-0.62038,-26.2348928
DIU,DIU2,summer23,20230901,0.0547921,-27.807004
DIU,DIU3,summer23,20230901,0.6791019,-26.8161944
DIU,DIU4,summer23,20230901,-0.1446679,-27.5393256
DIU,DIU5,summer23,20230901,2.6417883,-27.40249
DIU,DIU6,summer23,20230901,-0.3650712,-28.1186296
HMO,HMO1,spring23,20230531,-3.0488055,-27.3155944
HMO,HMO2,spring23,20230531,-2.4135254,-27.9528288
HMO,HMO3,spring23,20230531,-2.9779972,-27.397496
HMO,HMO4,spring23,20230531,-2.8323914,-28.0377268
HMO,HMO5,spring23,20230531,-2.7107208,-28.6969348
HMO,HMO1,summer23,20230720,0.047811,-28.3143944
HMO,HMO2,summer23,20230720,-2.5621231,-27.1338128
HMO,HMO3,summer23,20230720,-2.1332841,-26.6793588
HMO,HMO4,summer23,20230720,-1.0831272,-27.4803964
HMO,HMO5,summer23,20230720,-2.1273003,-28.3703272
HMO,HMO1,late_summer23,20230926,-0.4169308,-28.0756812
HMO,HMO2,late_summer23,20230926,-1.6725315,-28.1525888
HMO,HMO3,late_summer23,20230926,-2.8214211,-27.692142
HMO,HMO4,late_summer23,20230926,-3.6681288,-26.67836
HMO,HMO5,late_summer23,20230926,-2.5710988,-28.4622168
