date,season,site,id_plant,light_exposure,organ,peso_mg,n_percent,15n_air_permil,c_percent,13c_vpvd
20230606,spring,itu,5,shl,sph,,,-1.6505909,,-31.442636
20230606,spring,itu,6,shl,sph,,,-1.6625585,,-31.7652484
20230615,spring,diu,1,shl,sph,,,2.4433256,,-31.7203024
20230615,spring,diu,2,shl,sph,,,-0.0160162,,-31.0141508
20230615,spring,diu,3,shl,sph,,,-3.8685861,,-32.011952
20230615,spring,diu,4,shl,sph,,,-2.6309368,,-31.167966
20230615,spring,diu,5,shl,sph,,,-0.2892764,,-32.591256
20230615,spring,diu,6,shl,sph,,,-2.5022851,,-31.1399996
20230831,summer,art,1,shl,sph,,,-3.7229803,,-33.5960488
20230831,summer,art,2,shl,sph,,,-2.1602112,,-31.3067992
20230831,summer,art,3,shl,sph,,,-1.7652804,,-32.4234576
20230831,summer,art,4,shl,sph,,,-2.4913148,,-32.930848
20230831,summer,art,6,shl,sph,,,-0.8557428,,-32.6441924
20230830,summer,ber,1,shl,sph,,,-1.946789,,-33.1016428
20230830,summer,ber,2,shl,sph,,,-0.7240992,,-31.1549816
20230830,summer,ber,3,shl,sph,,,-1.7961967,,-31.8311692
20230830,summer,ber,4,shl,sph,,,0.4098309,,-32.5832656
20230830,summer,ber,5,shl,sph,,,-1.6196746,,-34.2702388
20230830,summer,ber,6,shl,sph,,,0.1615032,,-32.5872608
20230829,summer,itu,1,shl,sph,,,-3.2512574,,-32.3395584
20230829,summer,itu,2,shl,sph,,,-4.3991497,,-33.9236552
20230829,summer,itu,3,shl,sph,,,-4.3861848,,-33.375314
20230829,summer,itu,4,shl,sph,,,-0.5535609,,-31.3247776
20230829,summer,itu,5,shl,sph,,,-2.6568666,,-31.5654884
20230829,summer,itu,6,shl,sph,,,-3.1674842,,-30.9971712
20230901,summer,diu,1,shl,sph,,,-0.6941802,,-28.1995324
20230901,summer,diu,2,shl,sph,,,-2.7605858,,-30.2480712
20230901,summer,diu,3,shl,sph,,,1.1996925,,-29.8535452
20230901,summer,diu,4,shl,sph,,,0.0597786,,-29.9803928
20230901,summer,diu,5,shl,sph,,,0.87557,,-30.9212624
20230901,summer,diu,6,shl,sph,,,0.1934168,,-29.1693672
20230607,spring,art,1,shl,bph,,,4.0918625,,-26.6693708
20230607,spring,art,2,shl,bph,,,2.27179,,-27.8729248
20230607,spring,art,3,shl,bph,,,1.8808484,,-26.7862304
20230607,spring,art,4,shl,bph,,,0.725975,,-27.2167132
20230607,spring,art,5,shl,bph,,,0.9882649,,-26.7892268
20230608,spring,ber,6,shl,bph,,,0.6302342,,-28.9426396
20230608,spring,ber,1,shl,bph,,,0.7708535,,-27.6132368
20230608,spring,ber,2,shl,bph,,,0.8536294,,-28.4272588
20230608,spring,ber,3,shl,bph,,,4.4478986,,-25.8723284
20230608,spring,ber,4,shl,bph,,,3.0387137,,-26.9799976
20230608,spring,ber,5,shl,bph,,,0.4407472,,-27.5632968
20230606,spring,itu,6,shl,bph,,,1.463977,,-26.7302976
20230606,spring,itu,1,shl,bph,,,-1.2795953,,-28.0726848
20230606,spring,itu,2,shl,bph,,,0.6053017,,-27.6162332
20230606,spring,itu,3,shl,bph,,,1.5028717,,-27.5383268
20230606,spring,itu,4,shl,bph,,,1.9456729,,-26.688348
20230606,spring,itu,5,shl,bph,,,-0.779948,,-28.2294964
20230615,spring,diu,1,shl,bph,,,1.2994225,,-25.4088852
20230615,spring,diu,2,shl,bph,,,2.4971798,,-26.7672532
20230615,spring,diu,3,shl,bph,,,2.1536032,,-26.2516252
20230615,spring,diu,4,shl,bph,,,1.0271596,,-25.5726884
20230615,spring,diu,5,shl,bph,,,1.7482075,,-27.6132368
20230615,spring,diu,6,shl,bph,,,0.2542521,,-27.1607804
20230831,summer,art,1,shl,bph,,,-1.7912102,,-29.7117156
20230831,summer,art,2,shl,bph,,,-1.0931002,,-29.3761188
20230831,summer,art,3,shl,bph,,,-0.9464971,,-28.2344904
20230831,summer,art,4,shl,bph,,,-4.4310633,,-28.6070428
20230831,summer,art,5,shl,bph,,,-1.448139,,-29.8835092
20230830,summer,ber,6,shl,bph,,,-1.976708,,-29.519946
20230830,summer,ber,1,shl,bph,,,-0.4129416,,-28.4222648
20230830,summer,ber,2,shl,bph,,,0.2063817,,-29.759658
20230830,summer,ber,3,shl,bph,,,3.1743465,,-27.3036088
20230830,summer,ber,4,shl,bph,,,0.4048444,,-29.894496
20230830,summer,ber,5,shl,bph,,,0.6571613,,-28.8946972
20230829,summer,itu,6,shl,bph,,,-2.3237684,,-29.235288
20230829,summer,itu,1,shl,bph,,,0.3400199,,-28.5451172
20230829,summer,itu,2,shl,bph,,,-2.1721788,,-28.7898232
20230829,summer,itu,3,shl,bph,,,-0.8138562,,-29.2882244
20230829,summer,itu,4,shl,bph,,,-0.1885491,,-28.3143944
20230829,summer,itu,5,shl,bph,,,-0.0160162,,-28.9386444
20230901,summer,diu,1,shl,bph,,,-0.62038,,-26.2348928
20230901,summer,diu,2,shl,bph,,,0.0547921,,-27.807004
20230901,summer,diu,3,shl,bph,,,0.6791019,,-26.8161944
20230901,summer,diu,4,shl,bph,,,-0.1446679,,-27.5393256
20230901,summer,diu,5,shl,bph,,,2.6417883,,-27.40249
20230901,summer,diu,6,shl,bph,,,-0.3650712,,-28.1186296
20230531,spring,msi,1,shl,bph,,,-3.0488055,,-27.3155944
20230531,spring,msi,2,shl,bph,,,-2.4135254,,-27.9528288
20230531,spring,msi,3,shl,bph,,,-2.9779972,,-27.397496
20230531,spring,msi,4,shl,bph,,,-2.8323914,,-28.0377268
20230531,spring,msi,5,shl,bph,,,-2.7107208,,-28.6969348
20230720,summer,msi,1,shl,bph,,,0.047811,,-28.3143944
20230720,summer,msi,2,shl,bph,,,-2.5621231,,-27.1338128
20230720,summer,msi,3,shl,bph,,,-2.1332841,,-26.6793588
20230720,summer,msi,4,shl,bph,,,-1.0831272,,-27.4803964
20230720,summer,msi,5,shl,bph,,,-2.1273003,,-28.3703272
20230926,late_summer,msi,1,shl,bph,,,-0.4169308,,-28.0756812
20230926,late_summer,msi,2,shl,bph,,,-1.6725315,,-28.1525888
20230926,late_summer,msi,3,shl,bph,,,-2.8214211,,-27.692142
20230926,late_summer,msi,4,shl,bph,,,-3.6681288,,-26.67836
20230926,late_summer,msi,5,shl,bph,,,-2.5710988,,-28.4622168
