INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,NOM_PROV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31
1002E,1993,3,SEÑORIO DE BERTIZ,146,NAVARRA,101,34,42,7,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,-3,72,48,1,105,5,0,0,0,66,0,0,42,021X,011X021X081X,011X057X081X,011X057X,067X,077X,077X,067X,011X067X,067X,067X,067X,067X,067X,067X,067X,057X067X,067X,011X057X067X,011X067X,011X,011X,011X067X,011X,067X,067X,077X,011X057X077X,057X,067X,011X
1002E,1993,4,SEÑORIO DE BERTIZ,146,NAVARRA,202,155,160,18,1,2,0,0,0,23,15,52,136,160,472,34,0,0,0,0,36,-3,340,160,102,16,16,129,18,17,,011X,011X,011X057X,011X,011X,011X,067X,067X,057X,011X067X,011X041X067X,011X,011X,011X041X,011X041X,011X,067X,057X067X,067X,067X,011X067X,011X,011X067X,011X057X,011X057X,011X,011X,011X,011X057X,011X057X,
1002E,1993,5,SEÑORIO DE BERTIZ,146,NAVARRA,65,37,0,15,0,0,-3,0,6,85,13,43,75,62,2,0,3,136,67,11,0,0,0,231,165,0,4,0,28,0,0,011X057X,011X057X,057X,011X057X067X,057X,067X,011X057X067X,067X,011X067X,011X057X,011X,011X057X,011X,011X057X,011X057X,057X067X,011X,011X,011X,011X,057X067X,067X,067X,011X041X067X,011X,057X,011X,057X,011X057X,,067X
1002E,1993,6,SEÑORIO DE BERTIZ,146,NAVARRA,220,0,0,0,190,11,2,153,88,131,125,50,5,0,6,0,0,0,140,40,0,30,47,0,0,0,0,0,-3,7,,011X067X,057X,067X,067X,011X067X,011X,011X,011X041X057X067X,011X057X,011X041X,011X,011X,011X,,011X057X,067X,067X,067X,011X057X067X,011X,,011X041X,011X,057X,057X067X,057X067X,057X,067X,011X067X,011X067X,
1002E,1993,7,SEÑORIO DE BERTIZ,146,NAVARRA,59,64,14,-3,107,0,0,0,45,160,33,0,0,0,0,0,0,13,35,33,0,0,0,30,-3,0,0,0,18,6,0,011X067X,011X,011X,011X067X,011X057X,057X067X,057X067X,067X,011X057X067X,011X067X,011X,,067X,057X067X,067X,067X,057X,011X057X,011X057X,011X,057X,,067X,011X067X,011X,057X067X,057X067X,057X067X,011X,011X,057X
1002E,1993,8,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,10,52,11,0,15,0,0,0,290,2,0,0,0,0,0,0,-3,330,124,331,143,59,0,0,0,0,057X067X,057X067X,057X067X,057X067X,067X,011X041X,011X,011X,067X,011X,057X,067X,,011X,011X,067X,067X,057X,057X067X,067X,067X,011X057X,011X041X,011X041X,011X041X,011X041X057X,011X,,067X,067X,067X
1002E,1993,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,73,15,0,20,0,0,0,0,0,0,54,102,0,0,293,196,160,870,108,313,44,124,2,48,20,,057X067X,057X067X,057X067X,057X067X,057X067X,011X057X,011X,067X,011X067X,067X,067X,067X,,067X,067X,011X,011X,,067X,011X031X067X,011X057X,011X,011X,011X,011X,011X,011X,011X,011X067X,011X,
1002E,1993,10,SEÑORIO DE BERTIZ,146,NAVARRA,136,350,53,0,10,30,5,3,67,0,104,15,25,0,-3,-3,89,0,0,241,100,135,60,7,3,0,30,2,0,0,30,011X,011X,011X,,011X041X067X,011X067X,011X067X,011X,011X067X,,011X,011X,011X,,011X067X,011X,011X,,,011X067X,011X,011X,011X,011X,011X,,011X057X067X,011X,,067X,011X
1002E,1993,11,SEÑORIO DE BERTIZ,146,NAVARRA,0,2,2,0,65,220,80,0,0,50,20,0,-3,21,0,0,0,0,0,0,0,0,0,5,1,0,0,0,56,308,,067X,011X067X,011X,,011X057X067X,011X,011X,,057X067X,011X067X,011X,067X,011X067X,011X,057X067X,057X067X,077X,077X,077X,067X,067X,077X,067X,011X077X,011X,067X,057X067X,067X,011X067X,011X,
1002E,1993,12,SEÑORIO DE BERTIZ,146,NAVARRA,162,180,0,0,130,15,80,6,8,24,3,0,27,128,23,44,1,160,3,54,159,0,165,500,904,329,61,91,113,49,103,011X031X,011X,067X,067X,011X,011X067X,011X,011X,011X,011X067X,011X,057X067X,011X077X,011X,011X,011X,011X,011X077X,011X,011X067X,011X,,011X,011X,011X,011X,011X,011X,011X,011X,011X
