INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,NOM_PROV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31
1002E,1996,7,SEÑORIO DE BERTIZ,146,NAVARRA,35,0,0,0,134,45,240,57,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,457,784,0,13,0,0,011X067X,,067X,067X,011X067X,011X,011X,011X,,011X057X067X,,067X,067X,057X067X,067X,067X,067X,067X,067X,067X,067X,,,,011X,011X,011X,,011X,,067X
1002E,1996,8,SEÑORIO DE BERTIZ,146,NAVARRA,4,0,0,0,0,30,2,0,0,0,34,3,0,0,0,0,0,0,69,75,20,2,29,0,63,68,20,36,91,5,0,011X067X,057X,057X067X,067X,067X,011X057X067X,011X,067X,067X,067X,011X067X,011X,067X,067X,067X,057X067X,057X067X,067X,011X057X067X,011X,011X,011X057X,011X,067X,011X067X,011X,011X,011X,011X,011X,067X
1002E,1996,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,6,79,185,76,111,233,126,14,0,131,13,0,0,0,258,,057X067X,057X067X,067X,057X067X,067X,057X067X,057X067X,057X067X,067X,067X,057X067X,011X057X067X,011X,057X067X,057X067X,011X067X,011X,011X,011X,011X,011X,011X,011X,,011X067X,011X057X,057X,057X067X,057X067X,011X057X067X,
1002E,1996,10,SEÑORIO DE BERTIZ,146,NAVARRA,234,184,0,78,113,61,0,5,0,4,0,0,14,251,177,5,7,0,0,0,0,0,0,0,0,0,0,10,76,0,0,011X,011X,,011X057X067X,011X,011X,067X,011X067X,057X,011X067X,057X,067X,011X067X,011X,011X,011X,011X057X067X,057X,057X067X,057X067X,057X067X,057X067X,067X,067X,057X067X,057X067X,057X067X,011X067X,011X057X,057X,067X
1002E,1996,11,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,88,68,0,4,0,0,129,0,6,0,0,0,77,806,136,302,315,75,78,54,2,470,129,239,69,156,388,,067X,057X067X,057X067X,011X067X,011X,057X,011X057X067X,057X,057X067X,011X067X,,011X067X,057X,067X,067X,011X077X,011X,011X,011X,011X,011X,011X,011X,011X057X,011X,011X,011X,011X,011X,011X,
1002E,1996,12,SEÑORIO DE BERTIZ,146,NAVARRA,100,15,0,438,435,135,4,4,0,0,2,10,159,148,0,0,0,34,2,0,3,0,0,109,239,0,0,0,0,0,3,011X,011X,057X,011X067X,011X,011X,011X,011X057X,,057X067X,011X067X,011X,011X,011X,067X,067X,,011X,011X,067X,011X,,067X,011X067X,011X,067X,077X,077X,077X,067X,011X
1002E,1997,1,SEÑORIO DE BERTIZ,146,NAVARRA,-3,2,681,173,5,0,27,38,227,23,92,0,0,0,5,6,96,0,105,72,500,50,23,95,2,0,0,4,6,0,5,011X,011X077X,011X,011X,011X057X,057X,011X077X,011X,011X,011X,011X057X,057X,067X,067X,011X067X,011X,011X,057X067X,011X067X,011X057X067X,011X,011X,011X,011X,011X067X,057X067X,057X067X,011X057X067X,011X057X,067X,011X
1002E,1997,2,SEÑORIO DE BERTIZ,146,NAVARRA,0,56,26,0,16,0,0,0,0,9,3,0,13,221,48,10,0,0,0,0,0,0,0,0,0,11,0,0,,,,057X,011X057X067X,011X,057X067X,011X067X,057X067X,067X,077X,077X,011X077X,011X057X,057X,011X067X,011X,011X,011X057X067X,057X,067X,057X067X,067X,057X067X,057X067X,057X067X,067X,067X,011X,057X067X,067X,,,
1002E,1997,3,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,0,0,0,56,34,0,0,0,0,0,0,0,0,250,19,0,0,0,0,0,0,067X,067X,057X067X,067X,057X067X,067X,057X067X,057X067X,067X,067X,077X,067X,057X067X,011X057X,011X057X,067X,057X067X,057X067X,057X067X,067X,057X067X,057X077X,057X077X,011X067X,011X,067X,057X067X,057X067X,067X,077X,077X
1002E,1997,4,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,152,0,0,0,0,0,0,107,284,98,0,0,,067X,067X,067X,,067X,057X067X,067X,,,067X,067X,067X,057X067X,067X,067X,067X,067X,011X,011X,,067X,057X067X,077X,067X,067X,011X067X,011X,011X,,067X,
1002E,1997,5,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,38,43,215,314,2,0,10,70,0,239,3,0,0,6,160,6,41,0,0,0,0,0,0,5,0,3,3,244,067X,,,011X067X,011X,011X,011X021X,011X057X,057X,011X067X,011X,,011X067X,011X057X,067X,067X,011X067X,011X067X,011X,011X067X,057X,067X,067X,067X,067X,067X,011X067X,067X,011X067X,011X067X,011X
1002E,1997,6,SEÑORIO DE BERTIZ,146,NAVARRA,299,40,2,328,0,0,0,0,0,0,0,0,0,0,23,0,0,2,0,7,16,25,26,0,13,108,36,508,46,8,,011X,011X067X,011X067X,011X,,067X,067X,067X,067X,,067X,067X,067X,067X,011X,067X,067X,011X067X,,011X,011X057X,011X,011X,057X,011X067X,011X,011X,011X,011X,011X,
1002E,1997,7,SEÑORIO DE BERTIZ,146,NAVARRA,420,81,33,85,8,0,0,0,21,0,0,8,102,0,0,485,76,17,0,0,30,6,7,2,0,0,0,0,0,0,0,011X,011X,011X,011X,011X057X,067X,067X,067X,011X067X,057X,057X067X,011X057X067X,011X041X057X,,067X,011X057X067X,011X,011X057X,067X,067X,011X057X067X,011X057X,011X,011X057X,067X,067X,067X,067X,067X,,
1002E,1997,8,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,97,43,113,0,8,0,78,2,0,0,39,12,0,0,0,0,36,0,0,0,0,224,3,196,12,0,0,9,057X,,057X067X,011X067X,011X057X,011X057X,,011X057X067X,057X067X,011X057X067X,011X,057X067X,057X067X,011X057X067X,011X057X,057X,067X,067X,057X067X,011X057X067X,057X,057X067X,057X067X,057X,011X,011X057X,011X,011X,057X,067X,011X
1002E,1997,9,SEÑORIO DE BERTIZ,146,NAVARRA,471,0,0,2,1,0,0,0,0,0,0,56,23,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,,011X057X,,057X067X,011X057X067X,011X057X,057X,057X067X,057X067X,057X067X,057X067X,057X067X,011X057X067X,011X,067X,057X067X,057X067X,067X,057X067X,057X067X,057X,057X,057X067X,057X067X,011X057X067X,,057X067X,067X,057X067X,057X067X,057X067X,
1002E,1997,10,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,61,0,0,0,112,202,270,226,1,6,0,0,0,0,0,0,110,89,0,0,0,-3,5,0,0,0,057X067X,057X067X,057X067X,057X067X,067X,011X,057X,057X067X,067X,011X067X,011X,011X,011X,011X,011X057X067X,057X067X,057X067X,067X,,067X,067X,011X,011X,067X,067X,067X,011X067X,011X,057X067X,057X067X,057X
1002E,1997,11,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,49,1000,120,50,186,0,0,41,70,12,0,0,0,0,110,0,115,114,154,-3,-3,-3,184,17,70,350,128,,057X067X,067X,067X,011X,011X,011X,011X067X,011X067X,067X,067X,011X067X,011X057X067X,011X057X067X,057X067X,057X067X,067X,057X067X,011X057X067X,067X,011X,011X,011X057X,011X,011X067X,011X067X,011X057X,011X,011X,011X,011X,
1002E,1997,12,SEÑORIO DE BERTIZ,146,NAVARRA,350,122,0,0,0,0,0,33,0,0,120,29,0,0,-3,118,67,66,30,30,0,180,0,0,145,354,152,0,0,26,189,011X,011X057X,,,057X,077X,067X,011X,057X067X,067X,011X,011X057X,057X077X,077X,021X,011X,011X,011X,011X,011X,067X,011X,057X,,011X,011X,011X,057X,067X,011X,011X
1002E,1998,1,SEÑORIO DE BERTIZ,146,NAVARRA,0,158,60,74,0,0,0,0,0,0,0,40,40,67,61,142,2,14,347,0,0,0,0,0,5,1,6,0,0,0,0,,011X,011X,011X,057X,077X,067X,077X,077X,,,011X,011X,011X,011X,011X057X,011X,011X,011X,,077X,057X077X,077X,077X,021X,011X077X,011X,077X,,,
1002E,1998,2,SEÑORIO DE BERTIZ,146,NAVARRA,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,350,7,0,0,0,0,5,,,,,011X067X,,057X067X,067X,057X067X,077X,057X067X,067X,067X,067X,067X,077X,067X,067X,067X,067X,067X,067X,,011X,011X,011X,,,057X,057X067X,011X057X067X,,,
1002E,1998,3,SEÑORIO DE BERTIZ,146,NAVARRA,1,0,0,20,0,0,0,240,150,81,635,30,0,0,0,0,0,0,0,0,0,52,41,0,0,0,0,0,25,0,0,011X057X,067X,067X,011X,057X,067X,057X067X,011X,011X,011X057X,011X031X057X,011X,067X,057X067X,067X,057X067X,057X067X,057X067X,057X067X,057X067X,057X067X,011X057X067X,011X,057X067X,057X067X,057X067X,067X,,011X,,067X
1002E,1998,4,SEÑORIO DE BERTIZ,146,NAVARRA,21,0,184,1,30,122,29,34,78,62,179,362,105,7,46,121,164,18,8,52,0,10,0,0,50,179,63,10,66,111,,011X067X,,011X,011X,011X,011X067X,011X,011X067X,011X,011X,011X067X,011X,011X021X,011X067X,011X067X,011X031X067X,011X,011X,011X,011X,057X,011X067X,067X,067X,011X067X,011X,011X,011X067X,011X,011X,
1002E,1998,5,SEÑORIO DE BERTIZ,146,NAVARRA,99,82,83,6,9,0,0,0,0,0,0,0,61,0,3,0,0,0,4,11,0,0,0,102,4,41,29,2,76,15,0,011X,011X,011X057X,011X,011X,067X,067X,067X,,,067X,067X,011X067X,,011X067X,057X,057X067X,057X067X,011X057X067X,011X067X,067X,057X067X,057X067X,011X067X,011X,011X,011X,011X,011X067X,011X,067X
1002E,1998,6,SEÑORIO DE BERTIZ,146,NAVARRA,29,35,5,78,149,14,0,0,3,98,211,18,16,5,29,0,0,0,0,0,0,0,0,0,15,0,0,0,18,163,,011X,011X,011X067X,011X057X,011X057X,011X057X,057X,067X,011X067X,011X,011X,011X,011X,011X,011X,,057X067X,057X067X,067X,067X,057X,057X067X,057X067X,057X067X,011X057X,057X,067X,057X067X,011X,011X057X,
1002E,1998,7,SEÑORIO DE BERTIZ,146,NAVARRA,111,0,5,0,0,40,105,0,0,0,0,3,57,0,0,0,-3,0,0,10,0,0,0,0,0,0,0,11,0,16,272,011X,,011X067X,057X,067X,011X057X067X,011X,,057X067X,067X,057X067X,011X067X,011X,,067X,067X,011X057X,057X,,011X067X,,067X,067X,057X,,057X,057X,011X,,011X,011X
1002E,1998,8,SEÑORIO DE BERTIZ,146,NAVARRA,17,80,8,0,0,0,0,0,0,0,0,0,7,0,74,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,16,011X,011X,011X,057X067X,057X067X,057X067X,057X067X,067X,067X,057X067X,057X,067X,011X057X,057X,011X057X067X,057X067X,,057X067X,057X067X,057X,057X067X,011X057X067X,011X057X,,057X,057X,057X,057X067X,057X067X,067X,011X
1002E,1998,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,210,0,199,107,0,0,0,148,256,326,102,0,11,0,0,0,0,0,40,215,68,17,13,0,0,274,167,,057X,057X,057X067X,011X057X,057X,011X067X,011X057X,057X067X,067X,057X067X,011X057X067X,011X,011X,011X,057X,011X057X067X,,057X067X,057X067X,057X067X,067X,011X067X,011X057X,011X057X,011X,011X067X,,057X067X,011X067X,011X057X,
1002E,1998,10,SEÑORIO DE BERTIZ,146,NAVARRA,100,237,14,64,300,190,426,454,145,159,57,48,0,0,0,0,59,191,49,2,0,0,4,34,156,31,0,0,11,0,0,011X,011X,011X057X,011X,011X,011X,011X,011X,011X,011X,011X,011X,057X,057X,057X,067X,011X067X,011X,011X,011X,067X,067X,011X067X,011X057X,011X,011X,057X,067X,011X057X067X,057X067X,057X
1002E,1998,11,SEÑORIO DE BERTIZ,146,NAVARRA,20,161,96,64,10,0,0,0,13,20,40,140,75,94,207,25,0,0,0,0,0,0,0,79,280,200,243,224,149,27,,011X057X,011X057X067X,011X057X,011X057X,011X057X,057X067X,057X067X,067X,011X067X,011X057X,011X057X067X,011X,011X,011X,011X,011X067X,067X,057X,057X,057X,077X,077X,057X077X,011X057X077X,011X057X,011X,011X057X,011X057X,011X057X,011X,
1002E,1998,12,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,15,98,45,61,0,0,25,68,221,0,0,0,0,0,0,3,11,510,0,0,56,24,0,0,0,0,19,8,0,,057X067X,011X067X,011X,011X057X,011X,057X067X,077X,011X077X,011X057X,011X057X,057X,057X067X,067X,057X067X,067X,077X,011X077X,011X,011X,077X,077X,011X077X,011X,057X,077X,,067X,011X,011X,
1002E,1999,1,SEÑORIO DE BERTIZ,146,NAVARRA,0,5,0,0,0,0,1,115,291,14,96,13,56,32,0,24,303,0,0,0,0,0,0,0,0,55,175,191,181,0,0,,011X067X,067X,067X,067X,,011X067X,011X057X,011X,011X021X081X,011X081X,011X057X,011X,011X,057X067X,011X067X,011X,,077X,067X,067X,067X,057X067X,077X,077X,011X067X,011X,011X,011X,067X,077X
1002E,1999,2,SEÑORIO DE BERTIZ,146,NAVARRA,0,18,0,0,42,27,287,39,173,102,65,0,0,0,11,233,141,75,0,34,194,286,152,80,0,0,180,0,,,,077X,011X057X067X,057X,057X067X,011X057X067X,011X,011X,011X,011X021X,021X081X,011X021X081X,077X,077X,077X,011X067X,011X057X,011X,011X057X,057X,011X057X067X,011X,011X,011X057X,011X057X,057X,057X067X,011X067X,057X,,,
1002E,1999,3,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,165,131,302,235,5,0,0,0,77,0,130,29,0,0,0,19,4,0,21,37,0,35,83,220,95,3,0,0,0,067X,067X,011X,011X,011X021X,011X021X081X,011X,,067X,067X,011X067X,,011X057X067X,011X057X,057X,057X,057X067X,011X057X067X,011X,057X067X,011X057X067X,011X,067X077X,011X067X,011X,011X,011X,011X,057X067X,067X,067X
1002E,1999,4,SEÑORIO DE BERTIZ,146,NAVARRA,3,0,0,0,0,5,82,6,0,31,33,227,91,146,55,57,210,4,3,131,49,48,205,1,31,0,80,184,0,19,,011X067X,067X,067X,067X,057X067X,011X067X,011X,011X,067X,011X057X067X,011X,011X,011X,011X,011X,011X057X067X,011X031X,011X,011X067X,011X067X,011X,011X,011X,011X,011X067X,057X,011X041X067X,011X057X,,011X067X,
1002E,1999,5,SEÑORIO DE BERTIZ,146,NAVARRA,35,45,263,24,0,20,151,0,0,0,0,0,3,164,7,390,15,48,73,135,70,0,0,0,0,0,27,0,0,0,58,011X,011X,011X,011X,067X,011X067X,011X,057X,067X,067X,067X,067X,011X067X,011X057X,011X,011X041X067X,011X,011X067X,011X057X,011X,011X,,067X,067X,067X,057X067X,011X,057X,067X,067X,011X
1002E,1999,6,SEÑORIO DE BERTIZ,146,NAVARRA,199,0,3,0,40,60,200,0,0,0,0,1,0,0,0,51,28,9,0,0,16,0,0,26,17,0,0,0,0,0,,011X041X,,011X067X,067X,011X057X067X,011X,011X,,067X,,057X,011X067X,057X,067X,067X,011X057X067X,011X057X,011X,,067X,011X057X,067X,067X,011X067X,011X,067X,067X,067X,067X,057X,
1002E,1999,7,SEÑORIO DE BERTIZ,146,NAVARRA,1,0,0,54,30,11,0,0,0,0,41,91,36,0,0,0,3,26,0,0,0,0,0,0,0,65,14,40,2,0,0,011X057X,067X,067X,011X057X067X,011X,011X057X,057X,057X067X,057X067X,057X067X,011X041X067X,011X041X,011X057X,057X067X,057X067X,067X,011X067X,011X057X,057X067X,057X,057X,,067X,067X,067X,011X041X067X,011X,011X057X,011X057X,057X,057X
1002E,1999,8,SEÑORIO DE BERTIZ,146,NAVARRA,0,26,3,84,19,51,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,057X,011X057X,011X067X,011X,011X057X,011X041X057X,011X067X,067X,011X067X,057X,057X,057X067X,057X067X,057X,,,057X,067X,057X,057X,057X067X,057X067X,057X,057X067X,011X041X,057X,057X067X,057X067X,057X067X,057X067X,057X
1002E,1999,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,30,11,0,0,0,0,0,15,436,6,0,39,0,17,81,0,0,0,0,205,80,0,0,0,74,80,,057X,057X067X,057X,057X,011X067X,011X057X,057X,057X,057X,057X,067X,011X057X,011X,011X057X,067X,011X057X067X,057X,011X067X,011X,067X,067X,,067X,011X041X067X,011X041X057X,057X,067X,057X067X,011X067X,011X,
1002E,1999,10,SEÑORIO DE BERTIZ,146,NAVARRA,0,18,56,123,0,0,0,0,0,0,0,25,8,0,0,3,110,5,14,0,19,19,0,0,0,7,0,0,0,2,0,057X,011X057X067X,011X,011X057X,057X067X,057X067X,067X,067X,057X067X,057X067X,057X067X,011X057X067X,011X057X,057X,057X067X,011X057X,011X041X057X,011X057X,011X067X,067X,011X067X,011X,067X,067X,067X,011X067X,,067X,067X,011X067X,
1002E,1999,11,SEÑORIO DE BERTIZ,146,NAVARRA,0,244,0,0,79,147,0,0,0,17,0,144,109,522,10,108,258,348,140,21,17,6,17,0,0,0,0,0,0,0,,,011X,057X,057X067X,011X067X,011X,,057X067X,067X,011X067X,067X,011X057X067X,011X,011X,011X,011X057X067X,011X,011X057X,011X021X,021X057X,021X081X,011X,011X057X,057X,057X067X,077X,057X077X,057X,,067X,
1002E,1999,12,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,115,8,0,0,0,135,256,5,94,25,320,65,0,34,10,134,0,0,0,0,0,20,74,231,401,0,2,25,057X067X,057X067X,077X,011X057X077X,011X,057X077X,077X,057X067X,011X067X,011X,011X,011X,011X057X,011X,011X,077X,011X077X,011X,011X057X,,077X,077X,067X,067X,011X,011X,011X,011X,057X,011X077X,011X
1002E,2000,1,SEÑORIO DE BERTIZ,146,NAVARRA,11,1,0,0,0,0,0,20,41,0,0,0,0,0,0,0,0,1,0,0,0,57,0,0,0,0,0,0,2,0,0,011X057X,011X057X,067X,067X,057X067X,067X,067X,011X057X067X,011X,077X,077X,077X,077X,067X,067X,077X,057X067X,011X077X,057X067X,067X,057X067X,011X067X,,077X,077X,077X,067X,077X,011X057X067X,057X,057X
1002E,2000,2,SEÑORIO DE BERTIZ,146,NAVARRA,1,185,0,0,0,23,3,65,15,12,0,0,225,125,38,380,321,16,85,0,0,0,57,0,0,0,0,0,10,,,011X067X,011X,057X,057X067X,067X,011X077X,011X057X,011X057X,011X057X,011X077X,,057X067X,011X077X,011X057X,011X,011X,011X,011X,011X,057X,057X067X,057X067X,011X067X,057X,057X067X,057X067X,067X,067X,011X067X,,
1002E,2000,3,SEÑORIO DE BERTIZ,146,NAVARRA,199,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,155,0,26,190,309,100,0,130,20,011X,057X,077X,011X057X067X,057X067X,077X,067X,057X067X,077X,077X,057X067X,057X067X,057X067X,057X067X,067X,067X,057X077X,067X,,077X,,011X067X,011X031X,057X,011X057X067X,011X,011X,011X,057X,011X057X067X,011X
1002E,2000,4,SEÑORIO DE BERTIZ,146,NAVARRA,0,23,49,170,128,0,0,5,246,149,175,49,1,96,0,38,2,78,6,0,0,140,85,0,10,155,254,3,0,0,,067X,011X,011X,011X,011X,057X,057X067X,011X067X,011X,011X,011X,011X,011X,011X067X,067X,011X067X,011X067X,011X067X,011X,067X,067X,011X067X,011X,067X,011X067X,011X,011X,011X,067X,067X,
1002E,2000,5,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,4,125,3,149,9,25,33,0,0,31,46,2,8,0,0,15,0,0,0,7,76,26,61,2,0,0,067X,067X,057X067X,067X,067X,011X067X,011X057X,011X067X,011X067X,011X,011X,011X057X,067X,067X,011X067X,011X,011X057X,011X,,067X,011X057X,067X,057X067X,057X067X,011X057X067X,011X067X,011X067X,011X,011X,067X,067X
1002E,2000,6,SEÑORIO DE BERTIZ,146,NAVARRA,7,0,0,36,77,1,0,0,560,136,68,0,0,0,0,0,0,0,0,0,2,9,2,2,0,51,0,0,0,0,,011X067X,067X,067X,011X067X,011X057X,011X,067X,067X,011X067X,011X,011X,,067X,067X,067X,067X,067X,067X,,,011X067X,011X067X,011X,011X067X,,011X067X,,067X,067X,067X,
1002E,2000,7,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,144,0,0,0,60,2,42,304,285,2,7,137,112,0,0,0,0,0,0,0,5,51,57,0,6,0,0,0,0,067X,067X,011X067X,067X,067X,067X,011X067X,011X,011X067X,011X,011X,011X,011X067X,011X,011X,,067X,067X,067X,067X,067X,067X,011X067X,011X067X,011X,067X,011X067X,,067X,067X,067X
1002E,2000,8,SEÑORIO DE BERTIZ,146,NAVARRA,5,0,219,121,2,2,0,0,0,0,234,3,0,0,0,2,4,17,0,102,27,0,0,0,39,24,0,0,0,0,0,011X067X,,011X067X,011X,011X,011X067X,,067X,067X,067X,011X067X,011X,067X,067X,067X,011X067X,011X,011X,,011X067X,011X,067X,067X,067X,011X067X,011X,,067X,067X,067X,067X
1002E,2000,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,25,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,207,64,0,0,0,0,0,90,0,18,25,404,,067X,011X067X,011X,,067X,011X067X,,067X,067X,067X,067X,067X,,,067X,067X,067X,067X,011X,011X,067X,067X,067X,067X,067X,011X067X,,011X067X,011X,011X067X,
1002E,2000,10,SEÑORIO DE BERTIZ,146,NAVARRA,316,41,0,0,33,1,0,25,151,157,45,24,338,212,488,11,0,0,0,230,588,28,25,0,5,4,0,21,0,184,26,011X,011X,067X,067X,011X067X,011X,067X,011X067X,011X,011X,011X,011X067X,011X,011X,011X,011X,067X,067X,067X,011X067X,011X,011X,011X,,011X067X,011X,,011X067X,,011X067X,011X
1002E,2000,11,SEÑORIO DE BERTIZ,146,NAVARRA,35,28,13,0,325,33,0,0,0,0,0,57,23,0,0,158,177,77,109,83,15,200,103,62,169,134,0,0,85,0,,011X067X,011X,011X,,011X067X,011X,,067X,067X,067X,067X,011X,011X,,067X,011X067X,011X,011X,011X,011X,011X,011X,011X,011X,011X,011X,,067X,011X,,
1002E,2000,12,SEÑORIO DE BERTIZ,146,NAVARRA,14,53,1,0,10,31,102,0,0,0,0,0,0,118,52,3,2,0,0,0,0,2,0,22,0,0,118,238,162,97,6,011X,011X,011X,,011X,011X,011X,,067X,,067X,,067X,011X067X,011X,011X,011X067X,,,067X,,011X,,011X067X,067X,067X,011X067X,011X,011X,011X,011X
1002E,2001,1,SEÑORIO DE BERTIZ,146,NAVARRA,14,0,124,0,148,52,140,32,0,0,3,1,67,0,0,12,4,140,163,32,0,0,215,5,0,195,128,261,61,155,137,011X,,011X067X,,011X,011X,011X,011X,,,011X,011X,011X,,067X,011X067X,011X,011X,011X,011X,067X,,011X067X,011X,067X,011X067X,011X,011X,011X,011X,011X
1002E,2001,2,SEÑORIO DE BERTIZ,146,NAVARRA,20,0,0,0,0,0,33,104,10,49,0,20,22,0,0,0,0,0,0,0,0,0,43,13,28,0,165,194,,,,011X,,067X,067X,067X,,011X,011X067X,011X,011X,,011X067X,011X,,067X,067X,067X,067X,077X,067X,067X,067X,011X067X,011X,011X021X,077X,021X067X,021X,,,
1002E,2001,3,SEÑORIO DE BERTIZ,146,NAVARRA,65,4,47,58,0,0,117,10,101,76,140,172,0,0,0,95,0,0,7,0,9,0,0,0,8,20,12,137,250,76,3,011X077X,011X,011X067X,011X,,067X,011X,011X,011X,011X,011X,011X,,067X,067X,011X067X,,067X,011X067X,,011X067X,067X,067X,,011X067X,011X067X,011X067X,011X067X,011X,011X,011X
1002E,2001,4,SEÑORIO DE BERTIZ,146,NAVARRA,0,13,0,8,4,139,324,60,22,58,48,0,0,0,3,0,0,13,90,121,225,166,0,15,0,0,0,6,175,90,,067X,011X067X,,011X067X,011X067X,011X,011X,011X,011X067X,011X,011X,,067X,067X,011X067X,,067X,011X067X,011X,011X,011X,011X,,011X067X,067X,067X,067X,011X067X,011X,011X,
1002E,2001,5,SEÑORIO DE BERTIZ,146,NAVARRA,120,0,4,412,342,112,2,0,0,0,0,0,57,0,0,65,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,011X067X,,011X067X,011X,011X,011X,011X,067X,067X,067X,067X,067X,011X067X,067X,067X,011X067X,011X,067X,067X,067X,067X,067X,067X,067X,067X,067X,067X,067X,067X,067X,067X
1002E,2001,6,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,8,2,0,3,313,69,0,0,0,0,18,17,13,0,0,0,0,0,0,0,0,11,0,0,0,0,,067X,067X,067X,067X,011X,011X,067X,011X067X,011X,011X,,067X,067X,067X,011X067X,011X,011X,,067X,067X,067X,067X,,067X,067X,011X067X,,067X,067X,067X,
1002E,2001,7,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,25,260,34,84,2,148,1,0,0,0,0,110,6,0,0,0,207,0,0,0,0,0,0,7,38,0,0,0,0,,067X,011X067X,011X,011X,011X,011X,011X,011X,067X,067X,067X,067X,011X067X,011X,067X,067X,067X,011X067X,067X,067X,067X,067X,067X,067X,011X067X,011X057X,,067X,067X,067X
1002E,2001,8,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,2,2,3,0,5,0,7,0,0,0,0,0,305,38,5,0,0,0,0,1,0,0,0,33,0,60,305,57,22,067X,067X,011X067X,011X,011X067X,,011X,067X,011X067X,067X,067X,067X,067X,067X,011X,011X,011X,,067X,067X,067X,011X067X,,,067X,011X,,011X067X,011X,011X,011X
1002E,2001,9,SEÑORIO DE BERTIZ,146,NAVARRA,3,0,0,5,0,0,0,22,8,0,0,0,33,43,0,3,4,0,0,0,48,52,83,8,0,0,0,13,0,0,,011X,067X,067X,011X067X,,067X,067X,011X067X,011X,067X,067X,067X,011X067X,011X,,011X067X,011X,067X,067X,067X,011X067X,011X,011X,011X,067X,067X,067X,011X067X,,067X,
1002E,2001,10,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,108,0,0,117,46,0,0,0,0,0,0,0,0,0,71,40,162,41,0,2,0,0,0,0,0,0,0,0,25,067X,067X,011X067X,,067X,011X067X,011X067X,,067X,067X,067X,067X,067X,067X,067X,067X,011X067X,011X,011X,011X,067X,011X067X,,067X,067X,067X,067X,,067X,067X,011X
1002E,2001,11,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,5,20,8,29,403,13,0,0,133,275,0,10,15,19,70,50,0,0,7,25,0,0,51,2,63,0,0,,067X,067X,067X,011X067X,011X057X,011X057X067X,011X,011X021X081X,021X081X,067X,077X,011X067X,011X,067X,011X,011X057X,011X057X,011X057X,011X057X,057X,057X,011X057X067X,011X057X,057X067X,057X067X,011X057X067X,011X057X,011X057X,057X,057X067X,
1002E,2001,12,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,64,192,15,0,78,81,8,057X067X,067X,057X067X,057X067X,067X,057X067X,057X067X,057X067X,067X,067X,077X,077X,057X067X,057X067X,077X,077X,057X067X,077X,077X,077X,077X,011X077X,057X,057X077X,011X077X,011X,011X057X,057X067X,011X077X,011X057X,011X
1002E,2002,1,SEÑORIO DE BERTIZ,146,NAVARRA,3,0,3,0,0,0,0,0,0,0,0,0,150,0,258,-3,0,34,12,0,0,0,18,12,0,0,0,0,0,0,0,011X067X,,011X067X,057X,067X,077X,077X,067X,067X,077X,057X077X,077X,011X067X,057X,011X067X,011X057X,077X,011X057X067X,011X,057X067X,067X,067X,011X,011X,067X,067X,,067X,067X,,067X
